GeneName	Description	Species	PE	SV
FNDC3B	Fibronectin type III domain-containing protein 3B	Homo sapiens	1	2
PURA	Transcriptional activator protein Pur-alpha	Homo sapiens	1	2
LARP4	La-related protein 4	Homo sapiens	1	3
EEF1A2	Elongation factor 1-alpha 2	Homo sapiens	1	1
MATR3	Matrin-3	Homo sapiens	1	1
RBMS2	"RNA-binding motif, single-stranded-interacting protein 2"	Homo sapiens	1	1
RPL23A	60S ribosomal protein L23a (Fragment)	Homo sapiens	1	1
UTP15	U3 small nucleolar RNA-associated protein 15 homolog	Homo sapiens	1	3
CNBP	Cellular nucleic acid-binding protein	Homo sapiens	1	1
RPL3	60S ribosomal protein L3	Homo sapiens	1	2
GAR1	H/ACA ribonucleoprotein complex subunit 1	Homo sapiens	1	1
RPL13	60S ribosomal protein L13	Homo sapiens	1	4
ILF3	Interleukin enhancer-binding factor 3	Homo sapiens	1	3
AGO2	Protein argonaute-2	Homo sapiens	1	3
RBM4B	RNA-binding protein 4B	Homo sapiens	1	1
TOP2A	DNA topoisomerase 2-alpha	Homo sapiens	1	3
XRCC5	X-ray repair cross-complementing protein 5	Homo sapiens	1	3
LIN28B	Protein lin-28 homolog B	Homo sapiens	1	1
DDX6	Probable ATP-dependent RNA helicase DDX6	Homo sapiens	1	2
NFX1	Transcriptional repressor NF-X1	Homo sapiens	1	2
NKRF	NF-kappa-B-repressing factor	Homo sapiens	1	2
FUBP1	Far upstream element-binding protein 1	Homo sapiens	1	3
GNL3	Guanine nucleotide-binding protein-like 3	Homo sapiens	1	2
SAFB	Scaffold attachment factor B1	Homo sapiens	1	4
ASH1L	Histone-lysine N-methyltransferase ASH1L	Homo sapiens	1	2
RPL12	60S ribosomal protein L12	Homo sapiens	1	1
ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	Homo sapiens	1	3
TIAL1	Nucleolysin TIAR	Homo sapiens	1	1
ASPM	Abnormal spindle-like microcephaly-associated protein	Homo sapiens	1	2
EIF2A	Eukaryotic translation initiation factor 2A	Homo sapiens	1	3
MAP4	Microtubule-associated protein (Fragment)	Homo sapiens	1	1
IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	Homo sapiens	1	2
MAGEB2	Melanoma-associated antigen B2	Homo sapiens	1	3
EWSR1	RNA-binding protein EWS	Homo sapiens	1	1
DHRS2	"Dehydrogenase/reductase SDR family member 2, mitochondrial"	Homo sapiens	1	4
NCL	Nucleolin (Fragment)	Homo sapiens	1	8
HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	Homo sapiens	1	2
ABCF1	ATP-binding cassette sub-family F member 1	Homo sapiens	1	2
DDX21	Nucleolar RNA helicase 2	Homo sapiens	1	5
TUBA1C	Tubulin alpha chain	Homo sapiens	1	1
GTPBP4	Nucleolar GTP-binding protein 1	Homo sapiens	1	3
ALB	Serum albumin	Bos taurus	1	4
TRMT1L	TRMT1-like protein	Homo sapiens	1	2
TRIM56	E3 ubiquitin-protein ligase TRIM56	Homo sapiens	1	3
NOLC1	Nucleolar and coiled-body phosphoprotein 1 (Fragment)	Homo sapiens	1	1
ZC3H7A	Zinc finger CCCH domain-containing protein 7A	Homo sapiens	1	1
MRPS5	"28S ribosomal protein S5, mitochondrial"	Homo sapiens	1	2
FASTKD2	"FAST kinase domain-containing protein 2, mitochondrial"	Homo sapiens	1	1
NAT10	RNA cytidine acetyltransferase	Homo sapiens	1	2
NOL6	Nucleolar protein 6	Homo sapiens	1	2
RBM15B	Putative RNA-binding protein 15B	Homo sapiens	1	3
VIM	Vimentin	Homo sapiens	1	4
RBM10	"RNA binding motif protein 10, isoform CRA_d"	Homo sapiens	1	1
CEBPZ	CCAAT/enhancer-binding protein zeta	Homo sapiens	1	3
STAU1	Double-stranded RNA-binding protein Staufen homolog 1	Homo sapiens	1	2
RPL14	60S ribosomal protein L14	Homo sapiens	1	4
RBM22	Pre-mRNA-splicing factor RBM22	Homo sapiens	1	1
FCF1	rRNA-processing protein FCF1 homolog	Homo sapiens	2	1
PUM2	Pumilio homolog 2	Homo sapiens	1	1
NOP58	Nucleolar protein 58	Homo sapiens	1	1
RPS5	40S ribosomal protein S5	Homo sapiens	1	1
NVL	Nuclear valosin-containing protein-like	Homo sapiens	1	1
MAP4	Microtubule-associated protein	Homo sapiens	1	1
MBOAT7	Lysophospholipid acyltransferase 7	Homo sapiens	1	2
DDX18	ATP-dependent RNA helicase DDX18	Homo sapiens	1	2
DIS3	Exosome complex exonuclease RRP44	Homo sapiens	1	2
YBX3	Y-box-binding protein 3	Homo sapiens	1	4
LYAR	Cell growth-regulating nucleolar protein	Homo sapiens	1	2
DDX56	Probable ATP-dependent RNA helicase DDX56	Homo sapiens	1	1
SNRPD3	Small nuclear ribonucleoprotein Sm D3	Homo sapiens	1	1
TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	Homo sapiens	1	1
CCAR2	Cell cycle and apoptosis regulator protein 2	Homo sapiens	1	2
KRT2	"Keratin, type II cytoskeletal 2 epidermal"	Homo sapiens	1	2
ATP5J2-PTCD1	Protein ATP5J2-PTCD1	Homo sapiens	4	1
YLPM1	YLP motif-containing protein 1	Homo sapiens	1	3
HDLBP	"High density lipoprotein binding protein (Vigilin), isoform CRA_a"	Homo sapiens	1	1
NOL10	Nucleolar protein 10	Homo sapiens	1	1
G3BP1	Ras GTPase-activating protein-binding protein 1	Homo sapiens	1	1
RBM47	RNA-binding protein 47	Homo sapiens	1	2
METTL16	Methyltransferase-like protein 16	Homo sapiens	1	2
ALDH3A2	Fatty aldehyde dehydrogenase	Homo sapiens	1	1
HELZ2	Helicase with zinc finger domain 2	Homo sapiens	1	6
RPL10A	60S ribosomal protein L10a	Homo sapiens	1	2
FASN	Fatty acid synthase	Homo sapiens	1	3
DZIP3	E3 ubiquitin-protein ligase DZIP3	Homo sapiens	1	2
CELF1	CUGBP Elav-like family member 1	Homo sapiens	1	2
HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	Homo sapiens	1	1
SPEN	Msx2-interacting protein	Homo sapiens	1	1
SRFBP1	Serum response factor-binding protein 1	Homo sapiens	1	1
NUFIP2	Nuclear fragile X mental retardation-interacting protein 2	Homo sapiens	1	1
WDR3	WD repeat-containing protein 3	Homo sapiens	1	1
ESPL1	Separin	Homo sapiens	1	3
BOP1	Ribosome biogenesis protein BOP1	Homo sapiens	1	2
DDX52	Probable ATP-dependent RNA helicase DDX52	Homo sapiens	1	3
NSUN5	Probable 28S rRNA (cytosine-C(5))-methyltransferase	Homo sapiens	1	2
VARS	Valine--tRNA ligase	Homo sapiens	1	4
C7orf50	Uncharacterized protein C7orf50	Homo sapiens	1	1
DHX29	ATP-dependent RNA helicase DHX29	Homo sapiens	1	1
TNRC6B	Trinucleotide repeat-containing gene 6B protein	Homo sapiens	1	4
RPL7L1	60S ribosomal protein L7-like 1	Homo sapiens	1	1
ANKRD17	Ankyrin repeat domain-containing protein 17	Homo sapiens	1	3
RRS1	Ribosome biogenesis regulatory protein homolog	Homo sapiens	1	2
DDX24	ATP-dependent RNA helicase DDX24	Homo sapiens	1	1
ELAVL2	ELAV-like protein	Homo sapiens	1	1
RPL6	60S ribosomal protein L6	Homo sapiens	1	3
CSDE1	Cold shock domain-containing protein E1	Homo sapiens	1	2
G3BP2	Ras GTPase-activating protein-binding protein 2	Homo sapiens	1	2
DHX57	Putative ATP-dependent RNA helicase DHX57	Homo sapiens	1	2
SLTM	SAFB-like transcription modulator	Homo sapiens	1	2
PPRC1	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1	Homo sapiens	1	1
HSPA1B	Heat shock 70 kDa protein 1B	Homo sapiens	1	1
RPL35	60S ribosomal protein L35	Homo sapiens	1	2
SRSF7	Serine/arginine-rich splicing factor 7	Homo sapiens	1	1
RPS20	40S ribosomal protein S20	Homo sapiens	1	1
RAB34	"Ras-related protein Rab-34, isoform NARR"	Homo sapiens	1	1
DDX47	Probable ATP-dependent RNA helicase DDX47	Homo sapiens	1	1
RPL34	60S ribosomal protein L34	Homo sapiens	1	3
NSUN2	tRNA (cytosine(34)-C(5))-methyltransferase	Homo sapiens	1	2
RBM14	RNA-binding protein 14	Homo sapiens	1	2
CAPRIN1	Caprin-1	Homo sapiens	1	2
PCBP4	Poly(rC)-binding protein 4	Homo sapiens	2	1
EIF4B	Eukaryotic translation initiation factor 4B	Homo sapiens	1	1
RPS17	40S ribosomal protein S17	Homo sapiens	1	1
HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	Homo sapiens	1	1
HNRNPR	Heterogeneous nuclear ribonucleoprotein R	Homo sapiens	1	1
SNRPD1	Small nuclear ribonucleoprotein Sm D1	Homo sapiens	1	1
EMG1	Ribosomal RNA small subunit methyltransferase NEP1	Homo sapiens	1	4
DDX43	Probable ATP-dependent RNA helicase DDX43	Homo sapiens	2	2
RPL28	60S ribosomal protein L28	Homo sapiens	1	1
SNRPD2	Small nuclear ribonucleoprotein Sm D2	Homo sapiens	1	1
RPS13	40S ribosomal protein S13	Homo sapiens	1	2
RRP9	U3 small nucleolar RNA-interacting protein 2	Homo sapiens	1	1
RBMX	"RNA-binding motif protein, X chromosome"	Homo sapiens	1	3
SHMT2	"Serine hydroxymethyltransferase, mitochondrial"	Homo sapiens	1	3
ZCCHC6	Terminal uridylyltransferase 7	Homo sapiens	1	1
RPL36	60S ribosomal protein L36	Homo sapiens	1	3
FLNA	Filamin-A	Homo sapiens	1	4
RPL8	60S ribosomal protein L8	Homo sapiens	1	2
RPS8	40S ribosomal protein S8	Homo sapiens	1	2
RBM38	RNA-binding protein 38	Homo sapiens	1	2
NOL8	Nucleolar protein 8	Homo sapiens	1	1
GOLT1B	Vesicle transport protein GOT1B	Homo sapiens	1	1
SNRPE	Small nuclear ribonucleoprotein E	Homo sapiens	1	1
HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	Homo sapiens	1	1
KRT10	"Keratin, type I cytoskeletal 10"	Homo sapiens	1	6
1	Trypsin	Sus scrofa	1	
PDCD11	Protein RRP5 homolog	Homo sapiens	1	3
RPS24	40S ribosomal protein S24	Homo sapiens	1	1
EIF3D	Eukaryotic translation initiation factor 3 subunit D	Homo sapiens	1	1
RPS27A	Ubiquitin-40S ribosomal protein S27a	Homo sapiens	1	2
KRT1	"Keratin, type II cytoskeletal 1"	Homo sapiens	1	6
RPL4	60S ribosomal protein L4	Homo sapiens	1	5
ZNF326	DBIRD complex subunit ZNF326	Homo sapiens	1	2
MTDH	Protein LYRIC	Homo sapiens	1	2
RPS18	40S ribosomal protein S18	Homo sapiens	1	3
RPL27	60S ribosomal protein L27 (Fragment)	Homo sapiens	1	1
PSPC1	Paraspeckle component 1	Homo sapiens	1	1
CCDC59	Thyroid transcription factor 1-associated protein 26	Homo sapiens	1	2
SKIV2L2	Superkiller viralicidic activity 2-like 2	Homo sapiens	1	3
PUM2	Pumilio homolog 2	Homo sapiens	1	2
DHX36	ATP-dependent RNA helicase DHX36	Homo sapiens	1	2
SPATS2L	SPATS2-like protein	Homo sapiens	1	2
DDX27	Probable ATP-dependent RNA helicase DDX27	Homo sapiens	1	2
RPS6	40S ribosomal protein S6	Homo sapiens	1	1
SF3B1	Splicing factor 3B subunit 1	Homo sapiens	1	3
PLEC	Plectin	Homo sapiens	1	3
DAZAP1	DAZ-associated protein 1	Homo sapiens	1	1
ESF1	ESF1 homolog	Homo sapiens	1	1
