 Description	Species	GeneName	PE	SV
Elongation factor 1-alpha 2	Homo sapiens	EEF1A2	1	1
Matrin-3	Homo sapiens	MATR3	1	1
60S ribosomal protein L3	Homo sapiens	RPL3	1	2
Interleukin enhancer-binding factor 3	Homo sapiens	ILF3	1	3
NF-kappa-B-repressing factor	Homo sapiens	NKRF	1	2
Guanine nucleotide-binding protein-like 3	Homo sapiens	GNL3	1	2
Zinc finger CCCH-type antiviral protein 1	Homo sapiens	ZC3HAV1	1	3
Nucleolysin TIAR	Homo sapiens	TIAL1	1	1
"Dehydrogenase/reductase SDR family member 2, mitochondrial"	Homo sapiens	DHRS2	1	4
Heterogeneous nuclear ribonucleoprotein A3	Homo sapiens	HNRNPA3	1	2
Nucleolar RNA helicase 2	Homo sapiens	DDX21	1	5
E3 ubiquitin-protein ligase TRIM56	Homo sapiens	TRIM56	1	3
"Single-stranded DNA-binding protein, mitochondrial"	Homo sapiens	SSBP1	1	1
60S ribosomal protein L14	Homo sapiens	RPL14	1	4
Y-box-binding protein 3	Homo sapiens	YBX3	1	4
Small nuclear ribonucleoprotein Sm D3	Homo sapiens	SNRPD3	1	1
"Keratin, type II cytoskeletal 2 epidermal"	Homo sapiens	KRT2	1	2
Fatty aldehyde dehydrogenase	Homo sapiens	ALDH3A2	1	1
E3 ubiquitin-protein ligase DZIP3	Homo sapiens	DZIP3	1	2
Heterogeneous nuclear ribonucleoprotein M	Homo sapiens	HNRNPM	1	1
60S ribosomal protein L6	Homo sapiens	RPL6	1	3
Cold shock domain-containing protein E1	Homo sapiens	CSDE1	1	2
60S ribosomal protein L34	Homo sapiens	RPL34	1	3
Heterogeneous nuclear ribonucleoprotein R	Homo sapiens	HNRNPR	1	1
Small nuclear ribonucleoprotein Sm D1	Homo sapiens	SNRPD1	1	1
60S ribosomal protein L28	Homo sapiens	RPL28	1	1
Small nuclear ribonucleoprotein Sm D2	Homo sapiens	SNRPD2	1	1
60S ribosomal protein L36	Homo sapiens	RPL36	1	3
60S ribosomal protein L8	Homo sapiens	RPL8	1	2
40S ribosomal protein S8	Homo sapiens	RPS8	1	2
Small nuclear ribonucleoprotein E	Homo sapiens	SNRPE	1	1
Heterogeneous nuclear ribonucleoproteins C1/C2	Homo sapiens	HNRNPC	1	1
"Keratin, type I cytoskeletal 10"	Homo sapiens	KRT10	1	6
Trypsin	Sus scrofa	1	1	
Protein RRP5 homolog	Homo sapiens	PDCD11	1	3
Ubiquitin-40S ribosomal protein S27a	Homo sapiens	RPS27A	1	2
"Keratin, type II cytoskeletal 1"	Homo sapiens	KRT1	1	6
60S ribosomal protein L4	Homo sapiens	RPL4	1	5
"Keratin, type II cytoskeletal 6A"	Homo sapiens	KRT6A	1	3
Nuclease-sensitive element-binding protein 1 (Fragment)	Homo sapiens	YBX1	1	1
40S ribosomal protein S6	Homo sapiens	RPS6	1	1
Far upstream element-binding protein 3	Homo sapiens	FUBP3	1	2
G-rich sequence factor 1	Homo sapiens	GRSF1	1	3
ATP-dependent RNA helicase DDX54	Homo sapiens	DDX54	1	2
Plasminogen activator inhibitor 1 RNA-binding protein	Homo sapiens	SERBP1	1	2
Protein PRRC2C	Homo sapiens	PRRC2C	1	4
60S ribosomal protein L19	Homo sapiens	RPL19	1	1
60S ribosomal protein L18a	Homo sapiens	RPL18A	1	2
Regulator of nonsense transcripts 1	Homo sapiens	UPF1	1	2
Ribosomal L1 domain-containing protein 1	Homo sapiens	RSL1D1	1	3
60S ribosomal protein L18 (Fragment)	Homo sapiens	RPL18	1	1
"Leucine-rich PPR motif-containing protein, mitochondrial"	Homo sapiens	LRPPRC	1	3
pre-rRNA processing protein FTSJ3	Homo sapiens	FTSJ3	1	2
Proliferation marker protein Ki-67	Homo sapiens	MKI67	1	2
Heat shock cognate 71 kDa protein	Homo sapiens	HSPA8	1	1
Heterogeneous nuclear ribonucleoprotein Q	Homo sapiens	SYNCRIP	1	2
Heterogeneous nuclear ribonucleoprotein U	Homo sapiens	HNRNPU	1	6
40S ribosomal protein S3	Homo sapiens	RPS3	1	2
La-related protein 1	Homo sapiens	LARP1	1	2
Poly(rC)-binding protein 1	Homo sapiens	PCBP1	1	2
Glyceraldehyde-3-phosphate dehydrogenase	Homo sapiens	GAPDH	1	3
Polypyrimidine tract-binding protein 1	Homo sapiens	PTBP1	1	1
Heterogeneous nuclear ribonucleoproteins A2/B1	Homo sapiens	HNRNPA2B1	1	2
Putative ATP-dependent RNA helicase DHX30	Homo sapiens	DHX30	1	1
60S ribosomal protein L7a	Homo sapiens	RPL7A	1	2
Probable ATP-dependent RNA helicase DDX5	Homo sapiens	DDX5	1	1
Heterogeneous nuclear ribonucleoprotein H3	Homo sapiens	HNRNPH3	1	2
Histone H4	Homo sapiens	HIST1H4A	1	2
Small nuclear ribonucleoprotein-associated proteins B and B'	Homo sapiens	SNRPB	1	2
Heterogeneous nuclear ribonucleoprotein F	Homo sapiens	HNRNPF	1	3
60S ribosomal protein L22	Homo sapiens	RPL22	1	2
RNA-binding protein 28	Homo sapiens	RBM28	1	3
Heterogeneous nuclear ribonucleoprotein L	Homo sapiens	HNRNPL	1	2
