ENSG-ID	RPKM U2OS	
ENSG00000196433	0	
ENSG00000166763	0	
ENSG00000168781	4.16036	
ENSG00000198746	3.414995	
ENSG00000204131	0.4166259	
ENSG00000134184	0	
ENSG00000164828	67.3945	
ENSG00000126945	9.074128	
ENSG00000185220	1.566899	
ENSG00000171163	4.878578	
ENSG00000171161	7.504043	
ENSG00000175137	4.635162	
ENSG00000189181	0	
ENSG00000177151	0	
ENSG00000187701	0	
ENSG00000184022	0	
ENSG00000183130	0	
ENSG00000183310	0	
ENSG00000182783	0	
ENSG00000188558	0	
ENSG00000203661	0	
ENSG00000196539	0	
ENSG00000196240	0	
ENSG00000198104	0	
ENSG00000175143	0	
ENSG00000196944	0	
ENSG00000177174	0	
ENSG00000177201	0	
ENSG00000177186	0	
ENSG00000177212	0	
ENSG00000171180	0	
ENSG00000162727	0	
ENSG00000198601	0	
ENSG00000228198	0	
ENSG00000198128	0	
ENSG00000197454	0	
ENSG00000203663	0	
ENSG00000187080	0	
ENSG00000196936	0	
ENSG00000177275	0	
ENSG00000196071	0	
ENSG00000177462	0	
ENSG00000238243	0.8945596	
ENSG00000197591	0	
ENSG00000162722	3.072165	
ENSG00000221888	0	
ENSG00000196772	0	
ENSG00000153230	0.2465955	
ENSG00000197437	0	
ENSG00000198416	0	
ENSG00000177476	0	
ENSG00000196242	0	
ENSG00000177489	0	
ENSG00000169224	0	
ENSG00000177535	0	
ENSG00000162711	0.4075346	
ENSG00000162714	9.217613	
ENSG00000196418	7.803981	
ENSG00000221953	0.2064063	
ENSG00000135747	2.556968	
ENSG00000188295	2.69525	
ENSG00000197472	1.162983	
ENSG00000223519	0	
ENSG00000143653	12.34923	
ENSG00000162852	3.716113	
ENSG00000162851	3.803011	
ENSG00000185420	4.516139	
ENSG00000162849	0.1762063	
ENSG00000203666	2.269165	
ENSG00000153187	11.92434	
ENSG00000203667	9.515058	
ENSG00000188206	1.070452	
ENSG00000121644	25.73438	
ENSG00000215797	0	
ENSG00000179397	0.1023257	
ENSG00000035687	6.226415	
ENSG00000173728	0	
ENSG00000234885	0	
ENSG00000179456	6.44136	
ENSG00000117020	17.72548	
ENSG00000054282	2.708472	
ENSG00000143702	1.364076	
ENSG00000197769	0.7819892	
ENSG00000180287	1.314133	
ENSG00000174371	21.51006	
ENSG00000162843	0	
ENSG00000203668	21.89415	
ENSG00000054277	2.545261	
ENSG00000117009	0	
ENSG00000091483	12.75822	
ENSG00000180875	0.3344168	
ENSG00000182901	0.6614994	
ENSG00000155816	0	
ENSG00000133019	0.2042497	
ENSG00000116996	0	
ENSG00000198626	0	
ENSG00000116984	1.482013	
ENSG00000077522	0.1543945	
ENSG00000119285	9.252981	
ENSG00000116977	3.6375	
ENSG00000186197	45.63223	
ENSG00000086619	0.8657077	
ENSG00000077585	3.633339	
ENSG00000116962	8.217673	
ENSG00000143669	0.8828948	
ENSG00000168243	0.4493407	
ENSG00000162885	13.98129	
ENSG00000116957	12.31752	
ENSG00000152904	6.33939	
ENSG00000054267	3.304664	
ENSG00000188739	8.303778	
ENSG00000173726	10.13186	
ENSG00000168264	17.17562	
ENSG00000059588	0.4542549	
ENSG00000183780	3.897616	
ENSG00000168275	5.586805556	
ENSG00000135750	13.23223	
ENSG00000143674	0.8425671	
ENSG00000204983	0.2852298	
ENSG00000196266	0	
ENSG00000188599	0.2594664	
ENSG00000135778	28.78769	
ENSG00000212916	1.168296	
ENSG00000232432	0	
ENSG00000116991	0	
ENSG00000162946	1.793941	
ENSG00000116918	6.954888	
ENSG00000135766	4.152434	
ENSG00000010072	6.086677	
ENSG00000116903	2.477085	
ENSG00000116906	18.24446	
ENSG00000143633	3.337914	
ENSG00000119283	0	
ENSG00000182118	0.3088572	
ENSG00000173409	5.624135	
ENSG00000143643	1.122869	
ENSG00000119280	7.735416667	
ENSG00000135773	0	
ENSG00000099977	26.59829	
ENSG00000132623	0.8900851	
ENSG00000135775	4.414694	
ENSG00000236617	0	
ENSG00000177614	1.462306	
ENSG00000143641	64.01999	
ENSG00000135801	12.10503	
ENSG00000135763	10.39706	
ENSG00000135776	3.263426	
ENSG00000069248	8.30367	
ENSG00000143632	0.5314311	
ENSG00000213029	8.595528	
ENSG00000154429	3.834006	
ENSG00000168118	8.595528	
ENSG00000177800	0	
ENSG00000116574	2.319002	
ENSG00000215811	0	
ENSG00000168159	25.60323	
ENSG00000196890	0	
ENSG00000181218	0	
ENSG00000168148	0.4844756	
ENSG00000162931	0.6558173	
ENSG00000154370	4.249574	
ENSG00000154358	1.438919	
ENSG00000162913	0.8942735	
ENSG00000181873	1.710224	
ENSG00000203684	0.522495	
ENSG00000198835	1.862694	
ENSG00000143774	42.35482	
ENSG00000162910	5.407638889	
ENSG00000143793	4.355687	
ENSG00000143761	130.5964	
ENSG00000154342	1.469233	
ENSG00000185888	0	
ENSG00000143816	0.7517186	
ENSG00000081692	6.465544	
ENSG00000143740	21.11704	
ENSG00000181450	1.059699	
ENSG00000204334	2.143071	
ENSG00000143776	4.654249	
ENSG00000218327	4.346806	
ENSG00000163050	4.346806	
ENSG00000143801	3.31032	
ENSG00000143772	1.468126	
ENSG00000203685	0	
ENSG00000143799	21.57179	
ENSG00000185155	0	
ENSG00000183814	4.497766	
ENSG00000182827	7.178271	
ENSG00000163041	0	
ENSG00000143751	5.106411	
ENSG00000155754	0.1677702	
ENSG00000117632	139.3214	
ENSG00000105479	0	
ENSG00000196187	3.297755	
ENSG00000143819	5.066258	
ENSG00000143742	9.154913	
ENSG00000154380	16.84815	
ENSG00000203691	0	
ENSG00000143815	26.57029	
ENSG00000185842	9.765858	
ENSG00000143786	5.615247	
ENSG00000162923	9.025358	
ENSG00000143771	15.53552	
ENSG00000143748	3.057491	
ENSG00000143753	13.18435	
ENSG00000143756	7.45279	
ENSG00000143514	2.715972222	
ENSG00000162909	60.4158	
ENSG00000178395	0	
ENSG00000203697	0	
ENSG00000143502	4.054174	
ENSG00000187554	0	
ENSG00000154309	2.364502	
ENSG00000197520	0	
ENSG00000162819	2.76761	
ENSG00000186063	1.086038	
ENSG00000154305	3.100426	
ENSG00000143498	2.136134	
ENSG00000143512	1.886111111	
ENSG00000143507	2.561313	
ENSG00000136630	0	
ENSG00000186205	2.04748	
ENSG00000117791	2.38019	
ENSG00000162817	0	
ENSG00000116141	1.590366	
ENSG00000118873	4.33696	
ENSG00000067704	5.306622	
ENSG00000162813	4.45664	
ENSG00000136628	15.71883	
ENSG00000196660	0	
ENSG00000143353	3.277376	
ENSG00000228208	0.6116346	
ENSG00000092969	25.09862	
ENSG00000067533	1.200117	
ENSG00000162814	0	
ENSG00000092978	8.392221	
ENSG00000196482	0	
ENSG00000236292	0	
ENSG00000042781	0	
ENSG00000136636	17.04824	
ENSG00000082482	0	
ENSG00000180071	0	
ENSG00000225104	0	
ENSG00000152104	15.86652	
ENSG00000143499	25.04651	
ENSG00000117707	0	
ENSG00000136643	11.95753	
ENSG00000174606	5.833118	
ENSG00000143494	1.126973	
ENSG00000162769	2.513032	
ENSG00000185523	0	
ENSG00000203705	2.949782	
ENSG00000117697	0.6469389	
ENSG00000123685	4.755771	
ENSG00000162771	0	
ENSG00000162772	14.16184	
ENSG00000117691	33.51307	
ENSG00000065600	3.389568	
ENSG00000066027	7.452279	
ENSG00000143476	4.870833333	
ENSG00000143493	11.38198	
ENSG00000123684	5.061372	
ENSG00000117650	10.94051	
ENSG00000170385	18.84144	
ENSG00000198570	0.1098175	
ENSG00000153363	0.6555071	
ENSG00000082512	4.108815	
ENSG00000117625	13.52317	
ENSG00000143473	0	
ENSG00000054392	12.37321	
ENSG00000082497	6.802083333	
ENSG00000203706	16.76002	
ENSG00000143469	4.072594	
ENSG00000117597	2.950248	
ENSG00000117595	0	
ENSG00000162757	5.61881	
ENSG00000009790	0	
ENSG00000117594	0	
ENSG00000123689	0	
ENSG00000196878	1.482638889	
ENSG00000008118	0	
ENSG00000076356	0.6316356	
ENSG00000174059	1.603436	
ENSG00000203709	0.1502952	
ENSG00000117335	23.93037	
ENSG00000234759	0	
ENSG00000170935	0	
ENSG00000206177	0	
ENSG00000203710	0	
ENSG00000117322	0.3103666	
ENSG00000196352	7.596663	
ENSG00000123838	0	
ENSG00000123843	0.2847676	
ENSG00000123836	6.344897	
ENSG00000180667	3.859623	
ENSG00000182795	0	
ENSG00000162897	0	
ENSG00000162896	0	
ENSG00000162894	0	
ENSG00000162892	0.4807237	
ENSG00000162891	0	
ENSG00000142224	0	
ENSG00000136634	0	
ENSG00000162889	20.12821	
ENSG00000143479	5.016123	
ENSG00000143486	8.240368	
ENSG00000136653	1.205134	
ENSG00000162888	0	
ENSG00000234955	0	
ENSG00000143466	2.785252	
ENSG00000188389	0.7570095	
ENSG00000188011	0	
ENSG00000216921	0	
ENSG00000196188	0	
ENSG00000204099	0	
ENSG00000163486	0.8032181	
ENSG00000198049	0	
ENSG00000196533	0	
ENSG00000154252	0	
ENSG00000196550	0.3545761	
ENSG00000180902	7.328616	
ENSG00000227130	0	
ENSG00000174502	0.156733	
ENSG00000168395	5.355555556	
ENSG00000162877	0	
ENSG00000133065	6.340703	
ENSG00000117280	4.159187	
ENSG00000168393	0.865277778	
ENSG00000226630	0	
ENSG00000158715	3.445192	
ENSG00000069275	64.82161	
ENSG00000158711	1.406165	
ENSG00000168397	15.19741	
ENSG00000174514	0.1710541	
ENSG00000176720	28.08597	
ENSG00000176946	9.302479	
ENSG00000186007	1.524799	
ENSG00000117266	1.793215	
ENSG00000162873	0.9535493	
ENSG00000163545	0.8227019	
ENSG00000115694	34.81791	
ENSG00000133069	2.914367	
ENSG00000174529	1.225567	
ENSG00000117222	8.293196	
ENSG00000133059	3.95733	
ENSG00000163531	2.311189	
ENSG00000184144	0	
ENSG00000006607	3.586672	
ENSG00000170382	1.216459	
ENSG00000168385	48.33645	
ENSG00000198625	20.81128	
ENSG00000233362	0.3042203	
ENSG00000158615	25.23454	
ENSG00000133056	4.165375	
ENSG00000143850	0.3266845	
ENSG00000170498	4.512391	
ENSG00000174567	2.111282	
ENSG00000143845	12.54909	
ENSG00000143839	0	
ENSG00000115677	52.25975	
ENSG00000143842	3.911427	
ENSG00000176754	0	
ENSG00000146205	0.3752541	
ENSG00000122188	0	
ENSG00000058673	14.16709	
ENSG00000182004	5.58072	
ENSG00000058668	8.620979	
ENSG00000115685	20.24184	
ENSG00000115687	1.73572	
ENSG00000188770	0	
ENSG00000159388	23.41519	
ENSG00000122176	0	
ENSG00000188783	0	
ENSG00000122085	2.666161	
ENSG00000133055	0	
ENSG00000133048	0.7611304	
ENSG00000133063	0	
ENSG00000226321	0	
ENSG00000122180	0	
ENSG00000163485	2.636524	
ENSG00000162804	0.6567349	
ENSG00000143847	1.340101	
ENSG00000172478	0.7383216	
ENSG00000172482	0	
ENSG00000163444	0.9447274	
ENSG00000117153	4.049101	
ENSG00000159346	18.09431	
ENSG00000159348	5.39954	
ENSG00000184945	0	
ENSG00000130294	0.1322097	
ENSG00000183155	5.568974	
ENSG00000219159	0	
ENSG00000213826	0	
ENSG00000117139	9.074288	
ENSG00000185176	0	
ENSG00000143858	0.6264355	
ENSG00000077157	3.055724	
ENSG00000178623	3.616973	
ENSG00000133067	0.2931458	
ENSG00000142330	3.616973	
ENSG00000077152	26.72041	
ENSG00000142327	2.004583	
ENSG00000188542	2.370355	
ENSG00000143862	5.564962	
ENSG00000143851	0.4542763	
ENSG00000144504	1.836001	
ENSG00000176393	8.156147	
ENSG00000163612	0.1861284	
ENSG00000170075	0	
ENSG00000163431	0	
ENSG00000218416	0	
ENSG00000134375	19.12641	
ENSG00000063660	96.07756	
ENSG00000198892	4.136676	
ENSG00000178602	0	
ENSG00000172428	19.85605	
ENSG00000198700	17.26925	
ENSG00000178586	0	
ENSG00000182083	0	
ENSG00000221961	0	
ENSG00000130414	12.86866	
ENSG00000134369	2.474074	
ENSG00000220256	0	
ENSG00000226371	2.474074	
ENSG00000222020	0	
ENSG00000196758	0	
ENSG00000159176	36.00036	
ENSG00000213828	0	
ENSG00000159173	0.2993092	
ENSG00000174307	27.20765	
ENSG00000233608	0.3969894	
ENSG00000068024	0.4013677	
ENSG00000159166	0	
ENSG00000204104	1.066613	
ENSG00000065802	8.832941	
ENSG00000132326	1.162584	
ENSG00000081277	0.2086789	
ENSG00000118194	1.748964	
ENSG00000144485	2.402948	
ENSG00000163395	0	
ENSG00000116857	27.9386	
ENSG00000186235	0	
ENSG00000229377	1.274236	
ENSG00000132323	8.316267	
ENSG00000178752	1.274236	
ENSG00000233282	0	
ENSG00000081248	0	
ENSG00000168427	0	
ENSG00000116852	1.742741	
ENSG00000144488	0	
ENSG00000163362	4.465972222	
ENSG00000170128	0	
ENSG00000132330	12.86648	
ENSG00000118200	8.834097	
ENSG00000118193	7.333311	
ENSG00000118197	5.034199	
ENSG00000203721	8.540555	
ENSG00000162702	7.340318	
ENSG00000177483	0.2137224	
ENSG00000132329	0.1562929	
ENSG00000116833	0	
ENSG00000184182	12.86648	
ENSG00000234949	0	
ENSG00000124831	5.775655	
ENSG00000124839	0.4892922	
ENSG00000151418	0	
ENSG00000081237	0	
ENSG00000071677	0	
ENSG00000151414	20.63135	
ENSG00000213047	2.214258	
ENSG00000203724	2.419025	
ENSG00000143355	0.7694983	
ENSG00000134376	0	
ENSG00000222022	3.170514	
ENSG00000222032	4.834027778	
ENSG00000115648	1.85439	
ENSG00000066279	4.559197	
ENSG00000177888	6.29744	
ENSG00000134389	0	
ENSG00000143278	0	
ENSG00000134365	0	
ENSG00000163359	5.103658	
ENSG00000224132	0	
ENSG00000198612	14.81176	
ENSG00000116785	0	
ENSG00000000971	0	
ENSG00000144476	6.453752	
ENSG00000162630	0	
ENSG00000162687	0.3660791	
ENSG00000182177	0	
ENSG00000134371	5.865813	
ENSG00000132321	1.974314	
ENSG00000233611	0	
ENSG00000023572	1.007346	
ENSG00000168505	0	
ENSG00000222007	0	
ENSG00000116747	9.155778	
ENSG00000130147	9.587936	
ENSG00000157985	6.411079	
ENSG00000116741	2.076016	
ENSG00000116750	1.028524	
ENSG00000127074	0	
ENSG00000188042	6.270138889	
ENSG00000090104	0	
ENSG00000072080	0	
ENSG00000116711	0.9583253	
ENSG00000162670	0	
ENSG00000150681	0	
ENSG00000144481	0.2255831	
ENSG00000123485	16.32606	
ENSG00000073756	0.9344152	
ENSG00000116703	0	
ENSG00000185038	0	
ENSG00000157181	5.362034	
ENSG00000116690	0	
ENSG00000143811	4.674305556	
ENSG00000047410	3.145846	
ENSG00000143341	1.241169	
ENSG00000085982	5.521672	
ENSG00000077044	11.47762	
ENSG00000116679	20.72578	
ENSG00000116668	4.087055	
ENSG00000121486	1.322916667	
ENSG00000130561	0	
ENSG00000135842	0.1764657	
ENSG00000121481	7.546823	
ENSG00000116406	2.073746	
ENSG00000198756	0	
ENSG00000198860	26.20078	
ENSG00000116667	1.356419	
ENSG00000162704	24.80574	
ENSG00000143344	2.712678	
ENSG00000173627	0	
ENSG00000168918	0.3388511	
ENSG00000116701	11.24579	
ENSG00000085978	5.801229	
ENSG00000115488	0	
ENSG00000116698	20.55558	
ENSG00000222001	0	
ENSG00000157064	0	
ENSG00000066248	0.8612851	
ENSG00000058085	8.905456	
ENSG00000115474	0	
ENSG00000182600	10.87672	
ENSG00000135829	41.56448	
ENSG00000157060	0	
ENSG00000135862	24.69456	
