"Checked"	"Protein Group ID"	"Number of Proteins"	"Number of Unique Peptides"	"Number of Peptides"	"Number of PSMs"	"Group Description"	"Found in Sample in S1 F1 Sample"	"Found in Sample Group in S1 F1 Sample"
"False"	"1"	"1"	"6"	"6"	"28"	"[Master Protein] Fibronectin type III domain-containing protein 3B OS=Homo sapiens GN=FNDC3B PE=1 SV=2"	"High"	"High"
"False"	"2"	"1"	"6"	"6"	"24"	"[Master Protein] Transcriptional activator protein Pur-alpha OS=Homo sapiens GN=PURA PE=1 SV=2"	"High"	"High"
"False"	"3"	"5"	"9"	"9"	"46"	"[Master Protein] La-related protein 4 OS=Homo sapiens GN=LARP4 PE=1 SV=3"	"High"	"High"
"False"	"4"	"7"	"5"	"5"	"29"	"[Master Protein] Elongation factor 1-alpha 2 OS=Homo sapiens GN=EEF1A2 PE=1 SV=1"	"High"	"High"
"False"	"5"	"12"	"12"	"12"	"67"	"[Master Protein] Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=1"	"High"	"High"
"False"	"6"	"2"	"3"	"3"	"21"	"[Master Protein] RNA-binding motif, single-stranded-interacting protein 2 OS=Homo sapiens GN=RBMS2 PE=1 SV=1"	"High"	"High"
"False"	"7"	"6"	"6"	"6"	"33"	"[Master Protein] 60S ribosomal protein L23a (Fragment) OS=Homo sapiens GN=RPL23A PE=1 SV=1"	"High"	"High"
"False"	"8"	"3"	"11"	"11"	"122"	"[Master Protein] U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens GN=UTP15 PE=1 SV=3"	"High"	"High"
"False"	"9"	"1"	"4"	"4"	"24"	"[Master Protein] Cellular nucleic acid-binding protein OS=Homo sapiens GN=CNBP PE=1 SV=1"	"High"	"High"
"False"	"10"	"6"	"13"	"13"	"95"	"[Master Protein] 60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2"	"High"	"High"
"False"	"11"	"1"	"2"	"2"	"7"	"[Master Protein] H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens GN=GAR1 PE=1 SV=1"	"High"	"High"
"False"	"12"	"3"	"9"	"9"	"53"	"[Master Protein] 60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4"	"High"	"High"
