"Checked"	"Protein Group ID"	"Number of Proteins"	"Number of Unique Peptides"	"Number of Peptides"	"Number of PSMs"	"Group Description"	"Found in Sample in S2 F2 Sample"	"Found in Sample Group in S2 F2 Sample"
"False"	"1"	"5"	"4"	"4"	"15"	"[Master Protein] Elongation factor 1-alpha 2 OS=Homo sapiens GN=EEF1A2 PE=1 SV=1"	"High"	"High"
"False"	"2"	"5"	"3"	"3"	"11"	"[Master Protein] Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=1"	"High"	"High"
"False"	"3"	"4"	"3"	"3"	"12"	"[Master Protein] 60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2"	"High"	"High"
"False"	"4"	"3"	"7"	"7"	"24"	"[Master Protein] Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3"	"High"	"High"
"False"	"5"	"1"	"2"	"2"	"6"	"[Master Protein] NF-kappa-B-repressing factor OS=Homo sapiens GN=NKRF PE=1 SV=2"	"High"	"High"
"False"	"6"	"1"	"2"	"2"	"6"	"[Master Protein] Guanine nucleotide-binding protein-like 3 OS=Homo sapiens GN=GNL3 PE=1 SV=2"	"High"	"High"
"False"	"7"	"1"	"2"	"2"	"6"	"[Master Protein] Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3"	"High"	"High"
"False"	"8"	"1"	"2"	"2"	"7"	"[Master Protein] Nucleolysin TIAR OS=Homo sapiens GN=TIAL1 PE=1 SV=1"	"High"	"High"
"False"	"9"	"4"	"2"	"2"	"6"	"[Master Protein] Dehydrogenase/reductase SDR family member 2, mitochondrial OS=Homo sapiens GN=DHRS2 PE=1 SV=4"	"High"	"High"
"False"	"10"	"1"	"3"	"3"	"15"	"[Master Protein] Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2"	"High"	"High"
"False"	"11"	"1"	"11"	"11"	"42"	"[Master Protein] Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5"	"High"	"High"
"False"	"12"	"2"	"3"	"3"	"9"	"[Master Protein] E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens GN=TRIM56 PE=1 SV=3"	"High"	"High"
"False"	"13"	"4"	"2"	"2"	"20"	"[Master Protein] Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1"	"High"	"High"
"False"	"14"	"2"	"2"	"2"	"15"	"[Master Protein] 60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4"	"High"	"High"
"False"	"15"	"2"	"5"	"6"	"22"	"[Master Protein] Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4"	"High"	"High"
"False"	"16"	"2"	"6"	"6"	"41"	"[Master Protein] Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1"	"High"	"High"
"False"	"17"	"1"	"3"	"6"	"63"	"[Master Protein] Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	"High"	"High"
"False"	"18"	"4"	"3"	"3"	"9"	"[Master Protein] Fatty aldehyde dehydrogenase OS=Homo sapiens GN=ALDH3A2 PE=1 SV=1"	"High"	"High"
"False"	"19"	"1"	"2"	"2"	"6"	"[Master Protein] E3 ubiquitin-protein ligase DZIP3 OS=Homo sapiens GN=DZIP3 PE=1 SV=2"	"High"	"High"
"False"	"20"	"9"	"7"	"7"	"26"	"[Master Protein] Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=1"	"High"	"High"
"False"	"21"	"4"	"5"	"5"	"14"	"[Master Protein] 60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3"	"High"	"High"
"False"	"22"	"3"	"12"	"12"	"60"	"[Master Protein] Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2"	"High"	"High"
"False"	"23"	"1"	"2"	"2"	"8"	"[Master Protein] 60S ribosomal protein L34 OS=Homo sapiens GN=RPL34 PE=1 SV=3"	"High"	"High"
"False"	"24"	"2"	"1"	"5"	"20"	"[Master Protein] Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1"	"High"	"High"
"False"	"25"	"2"	"4"	"4"	"18"	"[Master Protein] Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens GN=SNRPD1 PE=1 SV=1"	"High"	"High"
"False"	"26"	"4"	"2"	"2"	"7"	"[Master Protein] 60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=1"	"High"	"High"
"False"	"27"	"3"	"9"	"9"	"94"	"[Master Protein] Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1"	"High"	"High"
