ensembl	symbol	entrez	uniprot	fold.change.vs.ctrl
ENSG00000137877	SPTBN5	51332	Q9NRC6	7.501068
ENSG00000162244	RPL29	6159	P47914	6.782616
ENSG00000124193	SRSF6	6431	Q13247	6.684598
ENSG00000144642	RBMS3	27303	Q6XE24	6.610615
ENSG00000197728	RPS26	6231	P62854	6.436109
ENSG00000179172	HNRNPCL1	343069	O60812	6.4228975
ENSG00000101104	PABPC1L	80336	Q4VXU2	6.399175
ENSG00000198498	TMA16	55319	Q96EY4	6.306205667
ENSG00000115875	SRSF7	6432	Q16629	6.196469333
ENSG00000125970	RALY	22913	Q9UKM9	6.196393
ENSG00000125944	HNRNPR	10236	O43390	6.176068
ENSG00000171861	RNMTL1	55178	Q9HC36	6.158062
ENSG00000112081	SRSF3	6428	P84103	6.158008333
ENSG00000071082	RPL31	6160	P62899	6.094683333
ENSG00000063046	EIF4B	1975	P23588	6.088928667
ENSG00000100941	PNN	5411	Q9H307	6.088306333
ENSG00000090621	PABPC4	8761	Q13310	6.074348667
ENSG00000131018	SYNE1	23345	Q8NF91	6.067656333
ENSG00000070756	PABPC1	26986	P11940	6.015469333
ENSG00000066044	ELAVL1	1994	Q15717	6.010136
ENSG00000008988	RPS20	6224	P60866	5.987023667
ENSG00000171863	RPS7	6201	P62081	5.951839667
ENSG00000165119	HNRNPK	3190	P61978	5.940255667
ENSG00000111641	NOP2	4839	P46087	5.936922
ENSG00000149273	RPS3	6188	P23396	5.798227
ENSG00000138757	G3BP2	9908	Q9UN86	5.796237
ENSG00000159217	IGF2BP1	10642	Q9NZI8	5.750819333
ENSG00000105202	FBL	2091	P22087	5.7470825
ENSG00000138668	HNRNPD	3184	Q14103	5.721651667
ENSG00000138095	LRPPRC	10128	P42704	5.683482
ENSG00000099622	CIRBP	1153	Q14011	5.675527667
ENSG00000119705	SLIRP	81892	Q9GZT3	5.668940667
ENSG00000115053	NCL	4691	P19338	5.661714
ENSG00000161547	SRSF2	6427	Q01130	5.603464333
ENSG00000088247	KHSRP	8570	Q92945	5.60066
ENSG00000148584	A1CF	29974	Q9NQ94	5.595227
ENSG00000177733	HNRNPA0	10949	Q13151	5.565635333
ENSG00000152795	HNRNPDL	9987	O14979	5.543253667
ENSG00000039123	SKIV2L2	23517	P42285	5.5374305
ENSG00000136450	SRSF1	6426	Q07955	5.530956333
ENSG00000197111	PCBP2	5094	Q15366	5.526285333
ENSG00000073792	IGF2BP2	10644	Q9Y6M1	5.524642
ENSG00000140988	RPS2	6187	P15880	5.470582
ENSG00000145907	G3BP1	10146	Q13283	5.451045667
ENSG00000065978	YBX1	4904	P67809	5.424508333
ENSG00000100650	SRSF5	6430	Q13243	5.403007
ENSG00000116001	TIA1	7072	P31483	5.389449333
ENSG00000135316	SYNCRIP	10492	O60506	5.384629333
ENSG00000116251	RPL22	6146	P35268	5.367018
ENSG00000120948	TARDBP	23435	Q13148	5.356175667
ENSG00000187772	LIN28B	389421	Q6ZN17	5.348380333
ENSG00000197451	HNRNPAB	3182	Q99729	5.335767667
ENSG00000113387	SUB1	10923	P53999	5.335615
ENSG00000009307	CSDE1	7812	O75534	5.332454667
ENSG00000183570	PCBP3	54039	P57721	5.328128667
ENSG00000130811	EIF3G	8666	O75821	5.318827333
