oligoDT.only.RBP	Trizol.and.oligoDT.RBP	Trizol.only.RBP
O00571	O00567	A0AV96
O60287	O43390	A1X283
P02533	O60506	A5YKK6
P02538	O75534	A7KAX9
P06748	O75691	O00139
P07910	O76021	O00151
P08779	P05455	O00154
P09651	P11940	O00159
P11142	P14866	O00193
P13639	P18124	O00203
P13647	P22087	O00220
P15880	P23246	O00233
P16989	P23396	O00267
P17844	P26373	O00299
P19338	P26599	O00410
P22626	P38159	O00425
P23588	P39023	O00429
P31943	P42696	O00468
P35268	P42704	O00505
P36578	P46087	O00541
P40429	P46777	O00566
P43243	P49207	O00629
P46013	P52272	O14497
P51991	P61254	O14578
P52597	P62280	O14617
P61247	P62424	O14647
P61978	P62753	O14776
P62899	P62917	O14896
P67809	P83731	O14908
Q00839	Q02543	O14964
Q09666	Q02878	O14979
Q12926	Q03701	O14980
Q13428	Q07065	O15020
Q14157	Q08211	O15021
Q6P5R6	Q12905	O15031
Q7Z2W4	Q12906	O15067
Q8NC51	Q13148	O15143
Q9BQ39	Q13310	O15213
Q9NP87	Q13823	O15231
Q9P2E9	Q14671	O15234
Q9UQ80	Q14684	O15347
Q9Y520	Q14690	O15371
	Q14692	O15427
	Q15365	O15438
	Q15366	O43143
	Q15717	O43159
	Q5JTH9	O43175
	Q5QJE6	O43237
	Q6PKG0	O43278
	Q7KZF4	O43290
	Q7L2E3	O43583
	Q8IY81	O43592
	Q8TDD1	O43684
	Q8WTT2	O43707
	Q92945	O43776
	Q96AE4	O43795
	Q96GQ7	O43823
	Q96I24	O43896
	Q96PK6	O60264
	Q9BQG0	O60271
	Q9BVJ6	O60437
	Q9BZE4	O60488
	Q9NR30	O60664
	Q9NW13	O60716
	Q9NY93	O60763
	Q9NZB2	O60832
	Q9UKM9	O60869
	Q9Y4C8	O75083
		O75116
		O75152
		O75179
		O75376
		O75390
		O75439
		O75533
		O75569
		O75607
		O75643
		O75665
		O75821
		O75822
		O75909
		O75940
		O76003
		O76094
		O94826
		O94992
		O95104
		O95274
		O95347
		O95359
		O95373
		O95425
		O95478
		O95487
		O95573
		O95602
		O95613
		O95747
		O95757
		O95758
		O95793
		O95817
		P00338
		P00387
		P00390
		P00505
		P00966
		P01033
		P02751
		P02786
		P02794
		P04080
		P04150
		P04181
		P04350
		P04843
		P04899
		P04908
		P05109
		P05198
		P05204
		P05386
		P05387
		P05388
		P06702
		P06703
		P06737
		P07195
		P07203
		P07384
		P07437
		P07476
		P07737
		P07858
		P07954
		P07996
		P08243
		P08648
		P08708
		P08754
		P09132
		P09497
		P09525
		P09622
		P09874
		P09960
		P09972
		P10155
		P11177
		P11216
		P11413
		P11717
		P12004
		P12268
		P12429
		P12532
		P12814
		P12956
