Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
ADH1_YEAST	124	135	131	106	101	106	98	105	101	79	89	77
ALBU_BOVIN	77	76	68	56	57	58	57	54	55	49	52	43
LPPRC_HUMAN				60	55	41	46	40	37	62	63	59
K2C1_HUMAN	40	38	39	54	50	44	43	39	39	45	44	43
K22E_HUMAN	24	26	25	33	32	24	26	28	23	29	34	30
HNRPQ_HUMAN				31	31	27	29	26	22	33	40	35
K1C10_HUMAN	25	27	23	26	26	22	27	22	27	27	27	26
RL6_HUMAN				26	18	23	17	17	15	21	28	22
FUBP2_HUMAN				11	14	8	13	9	12	17	13	15
RBM19_HUMAN				15	17	10	10	11	8	19	22	20
HNRC3_HUMAN				17	14		11	15	8		19	
HNRC4_HUMAN				17	14		11	15	8		19	
UTP20_HUMAN		2		16	17	18	6	6	9	24	23	27
ELAV1_HUMAN				17	18	16	12	12	14	16	18	18
RS2_HUMAN				31	25	23	21	22	27	25	24	24
PABP1_HUMAN				19	12	9	16	14	11	21	21	19
RL5_HUMAN				20	20	17	21	22	21	25	24	26
SND1_HUMAN				17	17	19	11	8	11	18	19	22
HNRPU_HUMAN				17	14	12	11	11	6	16	19	21
DDX3X_HUMAN				16	13	17	12	11	8	23	23	18
PRC2C_HUMAN				10	10	12	12	9	5	22	28	24
FUBP3_HUMAN				12	13	14	14	16	13	18	16	15
K1C9_HUMAN	22	24	23	34	26	27	16	13	15	15	16	18
PAIRB_HUMAN				31	25	27	24	24	21	26	28	29
RL8_HUMAN				30	31	26	30	27	28	31	33	31
MBB1A_HUMAN				26	26	20	18	15	18	39	41	31
PTBP1_HUMAN				24	21	21	21	16	16	27	22	25
DDX54_HUMAN				30	23	24	17	12	15	25	37	32
PA2G4_HUMAN				19	16	15	18	17	16	21	24	25
HNRPR_HUMAN				20	17	20	17	16	15	24	24	24
TRYP_PIG	28	26	28	27	25	28	21	19	21	21	17	15
GNL3L_HUMAN				3	5	5	3	7	7	9	8	13
TADBP_HUMAN				7	6	3	5	4	4	6	6	5
RALY_HUMAN				11	11	8	10	9	11	14	14	14
RBM14_HUMAN				5	8	7	5	5	4	11	11	12
FR1L4_HUMAN									1			
UBP19_HUMAN									1			
BPIB4_HUMAN									1			
DSRAD_HUMAN				5	3	3			1	7	12	10
VIGLN_HUMAN		2		6	9	6	5	3	3	10	8	7
EMAL1_HUMAN						2		2				
LARP7_HUMAN				3	2	2		3	3	6	8	8
DDX50_HUMAN				6				4		7	9	12
RS11_HUMAN				13	13	12	13	12	15	15	12	15
ELAV2_HUMAN				6	5	6	6	6	7	10	11	10
RL26L_HUMAN											10	
IF2B3_HUMAN					2					8	7	7
CKAP4_HUMAN				3	2	2	2	4	2	8	9	8
ROA3_HUMAN				4	5	4	5	6	4	7	5	4
RS24_HUMAN				8	8	8	7	8	6	7	6	7
CEBPZ_HUMAN				8	6	2	4	6	3	13	15	12
MCM6_HUMAN						2	2					
GSAS1_HUMAN							2					
RENT1_HUMAN				4	10	2	2			13	16	10
H2A1C_HUMAN				4		3						
H2A1B_HUMAN				4		3						
H2A3_HUMAN				4		3						
DDX17_HUMAN				5	5	7		5	3	8	9	11
EBP2_HUMAN				7	10	7	2	2	5	5	6	6
DDX56_HUMAN				7	6	6	5	5	6	8	10	11
NOG1_HUMAN				15	10	7	10	9	7	13	19	13
NOL9_HUMAN					1							
PEG10_HUMAN					2							
XIRP1_HUMAN				2	2							
RRP1B_HUMAN				2	4	6	2			9	7	9
K1C16_HUMAN	23	18	20	19	15	17	9	8	12	10	11	8
K1C14_HUMAN	19	17	20	18	17	19	10	12	11	12	11	7
ALBU_HUMAN	19	17	17	14	14	17	11	10	12			
IF4B_HUMAN				14	13	11	9	11	10	12	10	13
HNRC1_HUMAN				18	14	18		15	8	19	19	20
RBM28_HUMAN				14	11	11	8	10	14	16	20	15
GNL3_HUMAN				9	8	9	7	8	7	17	14	13
H2AX_HUMAN					5							
NOG2_HUMAN				8	6	9	3	5	6	15	14	13
YBOX2_HUMAN									5		8	
NOP58_HUMAN				11	5	9	7	5	6	9	9	12
F120A_HUMAN				14	13	8	11	11	8	18	17	15
RS3A_HUMAN				10	9	11	11	13	11	14	9	9
DHX30_HUMAN				10	10	5	4	4	8	16	14	11
FAM9A_HUMAN		2	2									
DHX9_HUMAN		2		11	13	7	2	2	4	16	16	10
HNRH1_HUMAN				12	10	9	9	8	9	8	9	10
UT14A_HUMAN				12	14	13	10	4	6	13	18	18
RL7A_HUMAN				12	13	12	10	10	8	11	10	8
DDX5_HUMAN				9	7	10	6	5	6	13	15	14
PUM3_HUMAN				6	6	9	7	5	6	14	17	13
UBP2L_HUMAN				5	4	5	3	3	5	10	11	10
MIA2_HUMAN							2					
MDR3_HUMAN		2					2	3				
SPAG5_HUMAN		2	3						2			
SNUT1_HUMAN			2		2							
EFC13_HUMAN		2	2									
NU214_HUMAN		2					2					
PK1L3_HUMAN		2										
LARP1_HUMAN		2		9	8	7	10	11	13	17	17	17
NPA1P_HUMAN				12	7	4		4	7	16	16	12
HNRPF_HUMAN				8	8	9	7	6	5	10	11	10
NONO_HUMAN				3	3	4	2		3	11	12	12
ILF2_HUMAN				4	9	5	4	4	5	10	5	7
MAP1S_HUMAN					3		2					
IF2B2_HUMAN				6	2	5	4	4	5	10	10	7
PABP4_HUMAN				10	7	8	7	7	11	11	13	11
ASIC4_HUMAN				2	2							
MOV10_HUMAN				1	2	2				9	8	4
NOP56_HUMAN				3	3	6	4	4	7	7	7	4
RL14_HUMAN				13	11	13	13	12	13	15	15	12
H2B1D_HUMAN						6	9					
H2BFS_HUMAN						6						
HNRH2_HUMAN				9		7				7	7	9
DDX3Y_HUMAN						15		8				
RL22_HUMAN				6	7	7	9	8	8	9	8	8
K2C5_HUMAN	20	19	19	25	16	16	17	13	18	17	17	16
K2C6A_HUMAN	18	16	16	17	16	12	10	11	11	13	17	12
MATR3_HUMAN				8	6	4	2	4	3	7	13	9
K2C6C_HUMAN	18		16	17	16		10	11	11	13	17	12
RMXL1_HUMAN				3	2		5		3			5
HSP76_HUMAN					4							
HSP72_HUMAN					4	5	4		3			7
RGSL_HUMAN						1			2			
G45IP_HUMAN						1						
RBM4B_HUMAN					3	1	1	2				
PPM1G_HUMAN							2					
RBM4_HUMAN					3	1	1	2		7	3	5
PCBP1_HUMAN				7	6	4	4	4	5	6	5	5
MPP10_HUMAN										7	8	11
DPOLM_HUMAN	9	9	9	10	7	5	7	7	5	6	5	6
HSP7C_HUMAN				6	7	6	7	5	7	12	13	15
MCE1_HUMAN									2			
TCOF_HUMAN				15	11	15	4		2	17	19	16
K2C6B_HUMAN	16	14	14	17	16	12	10	10	11	13	17	13
SRSF5_HUMAN				3	2		1	1	1		4	2
PCBP3_HUMAN				5								
ACTB_HUMAN				6	3	5	4	6	4	3	3	5
ACTG_HUMAN				6	3	5	4	6	4	3	3	5
AQR_HUMAN				1			2					
NUTM1_HUMAN				1	4							
RON_HUMAN				1								
TBRG4_HUMAN				1						6	3	2
K1C17_HUMAN	14	11	14			11		7		8		
NUCL_HUMAN				132	135	135	119	110	108	191	188	184
RRP5_HUMAN	16	17	18	73	79	65	45	51	49	77	95	92
K1C15_HUMAN	13	10	11			7	7	6	10	8	6	5
DDX24_HUMAN						5				8	8	8
TRIM8_HUMAN								2				
UBAP2_HUMAN								2		6	4	7
NSUN5_HUMAN				5	6	5			2	8	4	7
RL23A_HUMAN				6	2	3	3	4	4	3	7	4
K1C13_HUMAN	12	8	11	7	4	4	9	6	10	7	8	6
BYST_HUMAN				5	4	2	4	5	4	6	8	5
CALR3_HUMAN						3						
ANKH1_HUMAN			2	2	6	2	2		4	7	4	4
