Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
ADH1_YEAST	467	431	338	386	328	305	369	302	280	196	223	221
NUCL_HUMAN				375	362	331	282	267	266	583	637	588
ALBU_BOVIN	339	298	215	259	236	202	259	237	210	148	160	163
K2C1_HUMAN	157	143	126	138	117	127	103	96	88	121	145	127
RRP5_HUMAN	17	24	9	117	114	80	110	115	99	182	193	187
TRYP_PIG	85	68	48	120	86	87	99	88	63	60	67	52
LPPRC_HUMAN				95	70	73	94	97	88	151	129	128
DDX21_HUMAN				104	88	80	97	83	94	129	155	139
K1C10_HUMAN	89	100	88	72	78	61	84	66	73	77	87	89
HNRPQ_HUMAN				96	87	74	80	88	63	108	125	103
RL1D1_HUMAN				77	78	71	61	69	60	107	124	127
NPM_HUMAN	8	4	2	72	60	59	70	68	55	63	66	72
RL4_HUMAN	9	10	10	61	58	54	41	43	52	76	86	83
YBOX1_HUMAN	10			84	78	68	80	80	60	85	95	92
RS2_HUMAN				63	59	45	59	63	60	45	57	48
K22E_HUMAN	76	74	66	68	65	56	64	49	51	72	98	83
RL8_HUMAN				44	39	35	44	45	45	46	62	61
HNRPC_HUMAN				64	64	55	56	55	50	65	65	64
K1C9_HUMAN	66	66	66	60	41	33	37	26	41	33	36	34
PAIRB_HUMAN				75	68	64	77	67	59	52	52	62
MBB1A_HUMAN				44	42	33	51	39	32	88	77	83
HNRPM_HUMAN				47	39	40	55	55	43	57	49	57
RL5_HUMAN				20	24	24	36	33	29	22	33	29
PTBP1_HUMAN				42	36	29	31	17	16	44	52	42
ELAV1_HUMAN				40	41	37	46	44	40	40	57	56
CSDE1_HUMAN				37	33	35	26	19	20	45	53	53
PA2G4_HUMAN				46	41	34	36	37	48	47	53	45
HNRPR_HUMAN				45	37	39	49	47	48	56	71	79
RL7_HUMAN	6	4	3	16	36	27	34	27	26	35	31	35
RL6_HUMAN				41	43	36	23	30	21	41	39	34
BMS1_HUMAN				34	25	29	30	24	30	44	52	58
KI67_HUMAN				27	28	36	21	21	14	58	60	58
AHNK_HUMAN				19	20	18	22	28	14	64	72	63
PABP1_HUMAN				31	31	36	30	41	30	37	53	42
DPOLM_HUMAN	49	38	29	27	25	15	27	30	25	19	14	13
DDX27_HUMAN				28	33	33	23	24	22	50	47	45
HNRH1_HUMAN				39	30	22	28	31	27	35	47	45
