Accession	NCL A	NCL B	NCL C	U A	U B	U C	S A	S B	S C	IT A	IT B	IT C
ADH1_YEAST	320.00	320.00	320.00	320.00	320.00	320.00	320.00	320.00	320.00	320.00	320.00	320.00
TRYP_PIG	119.08	131.61	51.83	283.21	215.60	202.41	113.48	116.62	85.14	184.44	182.94	174.84
K2C1_HUMAN	97.33	101.16	121.13	108.12	128.96	101.34	88.27	99.82	91.67	190.25	192.25	164.96
H2A1H_HUMAN							28.04	33.06	20.45	13.92	14.68	13.91
RL8_HUMAN				123.47	126.46	99.95	133.79	149.98	133.18	243.85	226.65	196.89
RS2_HUMAN				166.32	146.09	122.09	179.49	197.40	159.37	270.12	281.89	242.34
YBOX1_HUMAN				89.75	87.45	88.91	89.58	105.10	89.88	121.50	140.41	115.94
ALBU_BOVIN	224.17	211.82	226.66	234.01	194.16	129.27	185.05	262.00	230.09	237.88	245.37	218.23
RL34_HUMAN							56.38	61.68	62.21	89.88	89.87	91.88
PA2G4_HUMAN				28.65	33.89	23.34	50.94	50.62	51.88	120.03	133.06	108.13
DDX21_HUMAN				28.68	42.77	36.80	37.58	37.39	28.76	136.67	133.61	127.63
NPM_HUMAN				91.05	86.41	72.72	109.78	142.42	128.68	208.97	234.18	199.94
RSSA_HUMAN							9.93	6.25	6.07	13.74	15.27	15.95
RL40_HUMAN				24.44	23.90	21.23	26.20	37.51	31.08	65.38	67.61	48.89
K22E_HUMAN	47.01	48.20	53.93	40.83	40.74	35.30	47.21	52.18	56.25	111.55	113.85	110.89
PESC_HUMAN										25.56	26.48	25.17
LA_HUMAN										20.04	24.66	20.98
RBM4_HUMAN										13.86	14.88	12.74
MPP10_HUMAN										10.65	12.07	11.09
CKAP4_HUMAN										12.47	13.05	10.30
SSBP_HUMAN							11.79	12.83	10.10	9.54	9.45	10.12
H4_HUMAN							47.24	62.33	64.79	17.93	19.76	15.29
YBOX2_HUMAN										24.31	23.90	18.03
K1C10_HUMAN	77.78	83.34	94.09	49.65	76.51	59.13	59.99	77.06	71.39	180.74	186.88	124.20
NUCL_HUMAN				299.75	237.23	216.62	156.16	185.05	167.44	369.21	357.42	364.73
RL22_HUMAN				60.15	76.80	54.25	61.72	73.71	77.05	95.69	91.24	71.60
RL18_HUMAN										28.12	31.02	14.96
K1C9_HUMAN	67.16	72.77	84.35	50.17	110.40	71.65	55.01	59.49	60.58	98.84	103.64	91.65
HNRPQ_HUMAN				71.53	61.53	63.43	62.07	77.14	57.98	120.16	138.95	110.94
RL13A_HUMAN				6.50	7.96	8.12	9.06	9.84	10.03	37.82	40.71	23.12
RS26_HUMAN										19.64	24.54	10.04
PAIRB_HUMAN				83.54	105.01	99.32	127.19	147.01	119.01	124.66	130.49	116.66
ELAV1_HUMAN				44.83	54.87	58.09	73.70	94.68	65.40	137.91	149.57	140.59
K2C6B_HUMAN				6.27		7.34				12.19	10.76	12.67
YBOX3_HUMAN				43.11	57.76	50.15	47.28	51.74	47.17	77.20	84.64	74.21
K2C6A_HUMAN				10.77	15.81	9.42	6.79	7.20	7.61	18.37	18.08	19.23
RL26L_HUMAN				15.13	9.63	6.45	22.85	21.73	21.82			
PCBP1_HUMAN										58.15	58.35	45.87
PABP1_HUMAN										39.11	40.62	31.12
SRSF2_HUMAN							15.31	18.19	15.96	25.57	25.10	23.78
SRSF6_HUMAN										23.53	22.83	20.24
K2C5_HUMAN				12.92	22.30	19.62	20.40	22.71	23.06	28.86	28.82	26.06
RS3_HUMAN				15.80	14.86	22.22	24.57	28.24	17.78	38.98	41.65	34.50
RRP5_HUMAN				27.64	33.77	24.87				104.00	103.37	108.45
RL7A_HUMAN										33.82	34.38	27.40
RL6_HUMAN				17.35	21.38	22.12				83.12	104.23	63.24
RL14_HUMAN				56.12	8.35	5.74				36.96	37.20	24.42
RL1D1_HUMAN				20.35	31.10	28.65	28.47	32.89	28.29	128.13	130.92	116.39
K1C16_HUMAN	21.33	23.36	23.88	2.93	4.79	4.20				6.91	7.09	5.17
K2C75_HUMAN	13.90	14.36	14.90									
RL4_HUMAN				35.90	26.54	33.17	26.37	26.43	23.96	107.45	109.80	90.43
RL22L_HUMAN				27.77	8.20	32.64	36.11	41.52	27.30	25.97	25.27	22.23
AL3A2_HUMAN										15.39	15.35	15.01
TIAR_HUMAN										37.40	43.10	28.60
DDX54_HUMAN				10.20	15.50	13.85				69.47	70.71	56.35
RS11_HUMAN							18.43	23.40	21.97	63.23	71.77	56.24
RL7_HUMAN				27.96	17.20	20.15	33.09	50.65	31.73	103.00	109.71	74.14
K1C14_HUMAN				6.64	10.81	11.39				18.80	17.70	18.61
RL31_HUMAN				32.43	9.96	34.25	74.43	82.91	57.04	26.09	34.36	19.62
CSDE1_HUMAN				17.23	24.43	18.43	21.00	26.24	20.06	75.22	75.23	77.83
RL5_HUMAN				28.55	20.40	21.46	42.17	50.35	44.60	111.42	117.49	118.82
LPPRC_HUMAN				13.24	23.18	22.49	30.89	33.64	29.70	90.38	90.07	72.61
HNRH1_HUMAN				27.65	34.08	27.66	21.90	23.79	20.38	67.46	66.97	65.04
ROA2_HUMAN				31.99	35.55	29.75	55.25	66.55	48.16	84.61	91.25	85.61
HNRPU_HUMAN				15.88	13.16	13.46				77.87	75.23	69.38
RL15_HUMAN				33.23	28.96	19.86	24.97	42.87	48.04	68.77	92.62	130.37
RS6_HUMAN										57.45	59.13	54.92
RL24_HUMAN										33.77	44.30	28.55
FBRL_HUMAN				12.76	19.78	17.11				45.79	46.91	56.32
SRSF4_HUMAN										10.81	13.58	11.63
SRSF7_HUMAN										15.95	18.88	6.50
RM43_HUMAN										4.29	4.62	3.16
RS24_HUMAN										10.36	9.34	7.52
BMS1_HUMAN				9.80	15.16	7.97				63.15	60.28	56.34
RBMX_HUMAN										14.57	14.24	11.78
K22O_HUMAN										5.18	6.61	7.53
RL18A_HUMAN				23.38	10.21	11.04	32.16	51.35	55.05	64.46	69.15	75.44
ROA1_HUMAN				17.78	20.20	17.76	24.76	28.69	33.22	79.80	91.41	66.79
SMD1_HUMAN										30.60	26.30	25.05
HNRPC_HUMAN				41.11	39.34	43.08	73.88	94.18	76.78	113.50	113.33	109.06
RL29_HUMAN										35.00	82.13	6.38
RALY_HUMAN										40.56	42.50	30.50
RL26_HUMAN										39.48	42.31	31.58
HNRPR_HUMAN				14.61	20.80	23.58	27.60	24.09	21.02	49.90	55.89	42.09
DDX27_HUMAN				1.70	3.78	2.78				29.96	29.49	22.99
SND1_HUMAN				5.14	8.41	6.35				46.01	44.99	38.81
DHX9_HUMAN										26.73	26.89	27.91
RS14_HUMAN							13.94	18.57	14.54	16.95	14.74	15.13
PTBP1_HUMAN				25.94	28.18	22.23	32.61	36.80	32.70	75.37	81.85	62.49
DDX3X_HUMAN				4.46	10.01	6.94				42.81	43.92	34.89
RL13_HUMAN										26.58	24.46	29.09
ILF2_HUMAN										28.32	29.01	29.16
RBM19_HUMAN				6.16	13.89	10.15				47.37	46.07	44.42
DDX50_HUMAN										16.36	15.02	14.27
RS7_HUMAN										17.92	22.43	16.88
HNRPD_HUMAN										39.32	44.64	15.69
ELAV2_HUMAN				4.96	4.76	6.78	13.69	14.39	10.01	23.47	24.76	24.59
RL19_HUMAN										40.94	41.67	16.33
PTBP3_HUMAN				4.37	6.08	1.90				10.41	11.55	10.32
RS18_HUMAN				11.70	10.29	11.87	28.12	29.21	21.77	7.83	10.07	7.58
HNRH3_HUMAN										13.20	16.35	15.25
ROA3_HUMAN										10.58	11.47	10.48
IF4B_HUMAN										19.79	21.44	17.38
KI67_HUMAN										42.14	41.88	42.38
LARP1_HUMAN							22.08	24.65	17.50	54.78	54.79	37.72
EBP2_HUMAN										18.87	23.71	14.59
HNRPK_HUMAN				9.44	15.27	12.38	17.26	17.93	19.89	36.90	39.27	32.61
RBM28_HUMAN				2.27	8.77	4.83	12.26	8.65	7.78	45.76	45.63	28.67
RL27A_HUMAN										34.98	36.16	28.20
NOP2_HUMAN				3.01	4.51	4.28				32.33	34.60	35.62
MBB1A_HUMAN				7.72	16.02	12.43				58.94	56.20	51.03
F120A_HUMAN				6.14	11.06	7.47				43.25	44.10	42.46
NOG1_HUMAN				3.30	9.45	5.09				36.45	37.19	29.03
K1C19_HUMAN										32.90	32.06	25.44
FUBP2_HUMAN				5.19	5.28	2.11	16.21	18.27	15.91	44.44	50.12	35.23
RL21_HUMAN										16.88	17.61	20.32
RL27_HUMAN							51.37	47.34	34.14	49.98	51.95	48.30
RS8_HUMAN										30.36	36.62	19.99
SRSF3_HUMAN										13.49	30.03	6.68
RL37_HUMAN				12.52	13.19	14.29	33.57	34.43	34.52	19.84	20.89	13.53
HNRPF_HUMAN										25.27	26.72	30.19
RL3_HUMAN										67.04	73.03	54.95
RS3A_HUMAN				8.43	18.90	14.40	27.57	34.16	32.29	29.31	35.36	30.64
RBM34_HUMAN				1.42	3.16	2.48				20.97	21.95	19.54
