Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
NUCL_HUMAN				60	63	56	78	76	73	173	165	104
ADH1_YEAST	46	56	38	45	35	36	41	30	30	63	55	51
K2C1_HUMAN	42	51	40	11	18	13	34	32	27	92	86	44
ALBU_BOVIN	54	45	38	34	19	17	38	35	20	51	47	54
KI67_HUMAN				2	6	1	2	5	4	121	123	63
RRP5_HUMAN				2	7	3	5	8	24	136	137	45
AHNK_HUMAN					0	1	3	1	3	66	76	56
LPPRC_HUMAN				0	1	1	10	14	16	115	87	39
DDX21_HUMAN				4	3	1	13	15	18	91	86	46
K22E_HUMAN	26	27	16	2	8	6	22	21	13	75	66	27
HNRPM_HUMAN					2	3	4	5	9	40	46	25
YBOX1_HUMAN				23	27	30	30	28	26	55	55	38
K1C9_HUMAN	20	21	13	2	14	10	21	17	14	42	51	27
K1C10_HUMAN	25	33	21	3	4	6	17	15	12	59	57	31
CSDE1_HUMAN					1	1	3	5	13	82	77	33
RL1D1_HUMAN				5	8	10	15	18	14	68	57	34
PA2G4_HUMAN				3	4	3	11	10	8	39	38	23
PRC2C_HUMAN					2		0	0	5	45	40	21
PAIRB_HUMAN				14	14	20	27	24	19	45	49	38
HNRPQ_HUMAN				13	5	6	21	18	12	52	56	30
RL8_HUMAN				9	12	8	33	27	14	55	48	36
RL5_HUMAN				1	5	3	13	15	11	43	46	24
MBB1A_HUMAN					3	1	1	3	4	55	61	21
NPM_HUMAN				9	7	9	21	22	17	39	38	23
HNRPC_HUMAN				7	4	4	29	21	15	34	35	18
BMS1_HUMAN					2	0	2	2	7	50	46	19
PLEC_HUMAN					1			1	2	26	33	12
RS2_HUMAN				12	13	14	22	18	15	32	35	21
DDX54_HUMAN					3	1	3	4	7	53	55	20
RL4_HUMAN			0	4	6	0	4	6	2	57	48	26
ELAV1_HUMAN				8	8	4	16	14	7	32	32	17
SND1_HUMAN					1	1	2	2	10	50	49	22
ROA2_HUMAN				6	6	3	11	8	8	37	34	16
DDX3X_HUMAN					1	0	1	0	8	43	46	20
RBM19_HUMAN					1		1	0	6	48	46	20
PTBP1_HUMAN				3	3	3	4	3	4	36	28	24
ROA1_HUMAN				1	10	3	4	7	10	34	40	22
FUBP2_HUMAN					0		5	0	6	37	40	22
F120A_HUMAN					1	1	3	3	5	46	43	15
RBM28_HUMAN					2	1	5	3	4	53	40	10
UT14A_HUMAN					1	3	0	0	6	29	35	24
NOP2_HUMAN					0	1	3		4	41	42	17
LARP1_HUMAN					0	1	3	2	1	33	33	16
HNRPU_HUMAN					1		1	0	6	37	33	15
IF4B_HUMAN					1	1	4	2	0	21	26	19
UTP20_HUMAN									2	40	19	13
RL7_HUMAN				3	3		6	6	6	33	33	14
PABP1_HUMAN							1	1		38	42	12
TCOF_HUMAN					1		1			35	29	9
HNRH1_HUMAN				4	4	5	7	5	5	28	26	15
YBOX3_HUMAN				9	12	15	18	20	10	43	36	28
HNRPK_HUMAN				0	4	4	7	6	3	21	25	14
FUBP3_HUMAN				0	0		4	0	1	39	30	15
