master_protein	cells	treatment	rep
P15144	MCF10A	CL	1
O95218	MCF10A	CL	1
Q13428	MCF10A	CL	1
P07384	MCF10A	CL	1
P15924	MCF10A	CL	1
P67809	MCF10A	CL	1
P11047	MCF10A	CL	1
Q86YZ3	MCF10A	CL	1
P07910	MCF10A	CL	1
Q9UMD9	MCF10A	CL	1
Q9C0J8	MCF10A	CL	1
P46783	MCF10A	CL	1
P49756	MCF10A	CL	1
P12956	MCF10A	CL	1
Q99959	MCF10A	CL	1
Q5JSZ5	MCF10A	CL	1
Q01130	MCF10A	CL	1
O00461	MCF10A	CL	1
Q9BUJ2	MCF10A	CL	1
Q08170	MCF10A	CL	1
Q8IX12	MCF10A	CL	1
Q12849	MCF10A	CL	1
Q7Z6Z7	MCF10A	CL	1
P55265	MCF10A	CL	1
Q13442	MCF10A	CL	1
Q9Y520	MCF10A	CL	1
P23588	MCF10A	CL	1
Q12797	MCF10A	CL	1
Q9UKJ3	MCF10A	CL	1
P31942	MCF10A	CL	1
Q9H307	MCF10A	CL	1
P23246	MCF10A	CL	1
Q00839	MCF10A	CL	1
Q9BZE4	MCF10A	CL	1
Q9ULU4	MCF10A	CL	1
Q15717	MCF10A	CL	1
Q14498	MCF10A	CL	1
Q9H1E3	MCF10A	CL	1
P35659	MCF10A	CL	1
P46013	MCF10A	CL	1
P35269	MCF10A	CL	1
Q9NW13	MCF10A	CL	1
Q9P2E9	MCF10A	CL	1
Q5T3I0	MCF10A	CL	1
P22626	MCF10A	CL	1
Q9Y230	MCF10A	CL	1
Q15149	MCF10A	CL	1
O00515	MCF10A	CL	1
Q9Y678	MCF10A	CL	1
P30101	MCF10A	CL	1
P26641	MCF10A	CL	1
O75400	MCF10A	CL	1
Q9Y2W1	MCF10A	CL	1
P04792	MCF10A	CL	1
Q9NRW3	MCF10A	CL	1
P82970	MCF10A	CL	1
Q6PKG0	MCF10A	CL	1
P21291	MCF10A	CL	1
P27816	MCF10A	CL	1
P21333	MCF10A	CL	1
Q14669	MCF10A	CL	1
P16144	MCF10A	CL	1
Q15075	MCF10A	CL	1
Q99615	MCF10A	CL	1
Q15154	MCF10A	CL	1
Q9NUQ6	MCF10A	CL	1
Q86V48	MCF10A	CL	1
Q9UHB9	MCF10A	CL	1
P35579	MCF10A	CL	1
Q9Y5Y6	MCF10A	CL	1
Q9Y5B9	MCF10A	CL	1
P78371	MCF10A	CL	1
Q03701	MCF10A	CL	1
Q6Y7W6	MCF10A	CL	1
Q7Z4V5	MCF10A	CL	1
O75533	MCF10A	CL	1
Q9BW04	MCF10A	CL	1
Q13671	MCF10A	CL	1
Q7Z417	MCF10A	CL	1
Q14103	MCF10A	CL	1
P49792	MCF10A	CL	1
O00566	MCF10A	CL	1
P19338	MCF10A	CL	1
Q14966	MCF10A	CL	1
P26358	MCF10A	CL	1
Q9H2U1	MCF10A	CL	1
P53621	MCF10A	CL	1
Q9NUL5	MCF10A	CL	1
Q14847	MCF10A	CL	1
P58107	MCF10A	CL	1
Q09666	MCF10A	CL	1
Q03252	MCF10A	CL	1
P23229	MCF10A	CL	1
Q12906	MCF10A	CL	1
Q8NEY8	MCF10A	CL	1
P07814	MCF10A	CL	1
P42704	MCF10A	CL	1
Q8WYP5	MCF10A	CL	1
Q4G0J3	MCF10A	CL	1
O95819	MCF10A	CL	1
P42766	MCF10A	CL	1
Q9NR30	MCF10A	CL	1
Q99575	MCF10A	CL	1
Q5D862	MCF10A	CL	1
Q13263	MCF10A	CL	1
Q15424	MCF10A	CL	1
Q9UQE7	MCF10A	CL	1
Q9BXP5	MCF10A	CL	1
P09651	MCF10A	CL	1
Q07954	MCF10A	CL	1
Q8NC51	MCF10A	CL	1
P11387	MCF10A	CL	1
Q92945	MCF10A	CL	1
Q5SY16	MCF10A	CL	1
Q9NZB2	MCF10A	CL	1
P14923	MCF10A	CL	1
Q13751	MCF10A	CL	1
Q13148	MCF10A	CL	1
Q5T200	MCF10A	CL	1
P14866	MCF10A	CL	1
Q9Y5A9	MCF10A	CL	1
Q8WVC0	MCF10A	CL	1
Q9UK59	MCF10A	CL	1
Q86V81	MCF10A	CL	1
O00541	MCF10A	CL	1
P20700	MCF10A	CL	1
O95425	MCF10A	CL	1
Q14980	MCF10A	CL	1
Q9NRN7	MCF10A	CL	1
Q8WWM7	MCF10A	CL	1
P50443	MCF10A	CL	1
O00220	MCF10A	CL	1
P00533	MCF10A	CL	1
P61247	MCF10A	CL	1
Q9BQG0	MCF10A	CL	1
Q9UHB6	MCF10A	CL	1
O95274	MCF10A	CL	1
Q7Z6E9	MCF10A	CL	1
Q01082	MCF10A	CL	1
Q5UIP0	MCF10A	CL	1
P46776	MCF10A	CL	1
Q9H2G2	MCF10A	CL	1
Q9NX58	MCF10A	CL	1
P62070	MCF10A	CL	1
P02545	MCF10A	CL	1
Q9UQ35	MCF10A	CL	1
Q15437	MCF10A	CL	1
P38159	MCF10A	CL	1
Q71RC2	MCF10A	CL	1
P12814	MCF10A	CL	1
Q9P1Y6	MCF10A	CL	1
O95573	MCF10A	CL	1
Q13501	MCF10A	CL	1
O75534	MCF10A	CL	1
Q8ND56	MCF10A	CL	1
Q15287	MCF10A	CL	1
P62995	MCF10A	CL	1
Q9H0G5	MCF10A	CL	1
O14974	MCF10A	CL	1
P26599	MCF10A	CL	1
P46781	MCF10A	CL	1
Q8TB72	MCF10A	CL	1
Q15233	MCF10A	CL	1
O15234	MCF10A	CL	1
Q9H3S7	MCF10A	CL	1
P04150	MCF10A	CL	1
P16989	MCF10A	CL	1
Q05086	MCF10A	CL	1
P29401	MCF10A	CL	1
P49327	MCF10A	CL	1
Q96AE4	MCF10A	CL	1
P39023	MCF10A	CL	1
O60488	MCF10A	CL	1
Q05682	MCF10A	CL	1
Q8N7H5	MCF10A	CL	1
P48729	MCF10A	CL	1
Q86UP2	MCF10A	CL	1
P48634	MCF10A	CL	1
Q96RL1	MCF10A	CL	1
Q9P2B2	MCF10A	CL	1
Q9H4A4	MCF10A	CL	1
A1L390	MCF10A	CL	1
Q9BY76	MCF10A	CL	1
Q7KZF4	MCF10A	CL	1
Q9Y3B9	MCF10A	CL	1
Q13464	MCF10A	CL	1
P50552	MCF10A	CL	1
Q7L014	MCF10A	CL	1
O95758	MCF10A	CL	1
O15042	MCF10A	CL	1
O75475	MCF10A	CL	1
Q8WWI1	MCF10A	CL	1
Q92609	MCF10A	CL	1
P51991	MCF10A	CL	1
Q8NI27	MCF10A	CL	1
Q9BUT9	MCF10A	CL	1
P50750	MCF10A	CL	1
P11142	MCF10A	CL	1
Q9NUQ3	MCF10A	CL	1
Q5SW79	MCF10A	CL	1
P35222	MCF10A	CL	1
Q14204	MCF10A	CL	1
Q14692	MCF10A	CL	1
P62913	MCF10A	CL	1
Q9UKV3	MCF10A	CL	1
Q9C0D5	MCF10A	CL	1
P05067	MCF10A	CL	1
Q7LBC6	MCF10A	CL	1
O95817	MCF10A	CL	1
Q9NZT2	MCF10A	CL	1
O15427	MCF10A	CL	1
Q14126	MCF10A	CL	1
P51531	MCF10A	CL	1
Q9Y2X3	MCF10A	CL	1
O14647	MCF10A	CL	1
O00567	MCF10A	CL	1
Q13247	MCF10A	CL	1
Q9NXV6	MCF10A	CL	1
P80723	MCF10A	CL	1
P33176	MCF10A	CL	1
Q9HCG8	MCF10A	CL	1
P62750	MCF10A	CL	1
Q9Y639	MCF10A	CL	1
Q92879	MCF10A	CL	1
P15880	MCF10A	CL	1
P13010	MCF10A	CL	1
Q96T37	MCF10A	CL	1
Q9HCE1	MCF10A	CL	1
Q5T5P2	MCF10A	CL	1
Q92615	MCF10A	CL	1
Q04637	MCF10A	CL	1
Q14151	MCF10A	CL	1
Q15436	MCF10A	CL	1
P35221	MCF10A	CL	1
Q6UWP8	MCF10A	CL	1
Q8N3D4	MCF10A	CL	1
Q08211	MCF10A	CL	1
P34932	MCF10A	CL	1
A1X283	MCF10A	CL	1
Q02790	MCF10A	CL	1
Q5T749	MCF10A	CL	1
Q5T653	MCF10A	CL	1
Q8NDV7	MCF10A	CL	1
Q8IXT5	MCF10A	CL	1
Q9ULV4	MCF10A	CL	1
Q02878	MCF10A	CL	1
Q01813	MCF10A	CL	1
Q9BWF3	MCF10A	CL	1
Q96HA1	MCF10A	CL	1
Q8TDD1	MCF10A	CL	1
P55884	MCF10A	CL	1
P60174	MCF10A	CL	1
Q9UHD1	MCF10A	CL	1
Q02040	MCF10A	CL	1
P61313	MCF10A	CL	1
O75312	MCF10A	CL	1
Q9UHB7	MCF10A	CL	1
Q8WXA9	MCF10A	CL	1
Q86UK7	MCF10A	CL	1
Q16787	MCF10A	CL	1
Q8WXF1	MCF10A	CL	1
Q8N1G4	MCF10A	CL	1
O15021	MCF10A	CL	1
Q08J23	MCF10A	CL	1
Q07065	MCF10A	CL	1
Q13310	MCF10A	CL	1
Q13813	MCF10A	CL	1
O75369	MCF10A	CL	1
Q6WCQ1	MCF10A	CL	1
P05556	MCF10A	CL	1
P31947	MCF10A	CL	1
Q07666	MCF10A	CL	1
Q02241	MCF10A	CL	1
Q9H0L4	MCF10A	CL	1
P40222	MCF10A	CL	1
O43493	MCF10A	CL	1
P38646	MCF10A	CL	1
O95359	MCF10A	CL	1
P98172	MCF10A	CL	1
P26038	MCF10A	CL	1
Q9NYF8	MCF10A	CL	1
P49207	MCF10A	CL	1
O75152	MCF10A	CL	1
P08648	MCF10A	CL	1
Q9NWB6	MCF10A	CL	1
P00558	MCF10A	CL	1
P02751	MCF10A	CL	1
Q7L2J0	MCF10A	CL	1
P52272	MCF10A	CL	1
P31689	MCF10A	CL	1
P14618	MCF10A	CL	1
Q9UKM9	MCF10A	CL	1
O60869	MCF10A	CL	1
P18583	MCF10A	CL	1
P29692	MCF10A	CL	1
Q9BU76	MCF10A	CL	1
O95747	MCF10A	CL	1
O60506	MCF10A	CL	1
Q9BUQ8	MCF10A	CL	1
Q9UPN4	MCF10A	CL	1
Q96PU4	MCF10A	CL	1
P10809	MCF10A	CL	1
P84103	MCF10A	CL	1
Q14671	MCF10A	CL	1
Q8IVF2	MCF10A	CL	1
Q92598	MCF10A	CL	1
Q12802	MCF10A	CL	1
P22234	MCF10A	CL	1
P62081	MCF10A	CL	1
Q5VTL8	MCF10A	CL	1
Q14134	MCF10A	CL	1
Q9BS26	MCF10A	CL	1
P47897	MCF10A	CL	1
Q9Y446	MCF10A	CL	1
Q14677	MCF10A	CL	1
P45974	MCF10A	CL	1
Q8TDI0	MCF10A	CL	1
Q6PJT7	MCF10A	CL	1
P34931	MCF10A	CL	1
Q9HCD5	MCF10A	CL	1
P29353	MCF10A	CL	1
Q9UPT8	MCF10A	CL	1
O43583	MCF10A	CL	1
Q9Y5J1	MCF10A	CL	1
P51116	MCF10A	CL	1
P17844	MCF10A	CL	1
Q16629	MCF10A	CL	1
Q14247	MCF10A	CL	1
P46782	MCF10A	CL	1
Q08AD1	MCF10A	CL	1
Q9NWH9	MCF10A	CL	1
Q99442	MCF10A	CL	1
P49790	MCF10A	CL	1
Q96PD2	MCF10A	CL	1
Q8N3F8	MCF10A	CL	1
O95487	MCF10A	CL	1
P49750	MCF10A	CL	1
P55011	MCF10A	CL	1
Q92804	MCF10A	CL	1
Q15223	MCF10A	CL	1
Q9H0A0	MCF10A	CL	1
P08243	MCF10A	CL	1
Q13451	MCF10A	CL	1
