Uniprot ID	Gene Symbol	Gene ID	RNAPI
AATF_HUMAN	AATF	26574	dependent
ABC3F_HUMAN	APOBEC3F	200316	dependent
ABT1_HUMAN	ABT1	29777	dependent
AKAP9_HUMAN	AKAP9	10142	dependent
AROS_HUMAN	RPS19BP1	91582	dependent
BMS1_HUMAN	BMS1	9790	dependent
BOP1_HUMAN	BOP1	23246	dependent
BRX1_HUMAN	BRIX1	55299	dependent
BYST_HUMAN	BYSL	705	dependent
CC137_HUMAN	CCDC137	339230	dependent
CEBPZ_HUMAN	CEBPZ	10153	dependent
CG050_HUMAN	C7orf50	84310	dependent
CI114_HUMAN	SPOUT1	51490	dependent
CIR1A_HUMAN	UTP4	84916	dependent
CK5P2_HUMAN	CDK5RAP2	55755	dependent
CP250_HUMAN	CEP250	11190	dependent
DCA13_HUMAN	DCAF13	25879	dependent
DDX10_HUMAN	DDX10	1662	dependent
DDX18_HUMAN	DDX18	8886	dependent
DDX24_HUMAN	DDX24	57062	dependent
DDX31_HUMAN	DDX31	64794	dependent
DDX47_HUMAN	DDX47	51202	dependent
DDX49_HUMAN	DDX49	54555	dependent
DDX51_HUMAN	DDX51	317781	dependent
DDX52_HUMAN	DDX52	11056	dependent
DDX55_HUMAN	DDX55	57696	dependent
DDX56_HUMAN	DDX56	54606	dependent
DHX37_HUMAN	DHX37	57647	dependent
DIEXF_HUMAN	DIEXF	27042	dependent
DIM1_HUMAN	DIMT1	27292	dependent
DMD_HUMAN	DMD	1756	dependent
ESF1_HUMAN	ESF1	51575	dependent
EXOS2_HUMAN	EXOSC2	23404	dependent
EXOSX_HUMAN	EXOSC10	5394	dependent
FBLL1_HUMAN	FBLL1	345630	dependent
GNL3_HUMAN	GNL3	26354	dependent
GPTC4_HUMAN	GPATCH4	54865	dependent
GSCR2_HUMAN	NOP53	29997	dependent
HACD2_HUMAN	HACD2	201562	dependent
HAND2_HUMAN	HAND2	9464	dependent
HDGL1_HUMAN	HDGFL1	154150	dependent
HEAT1_HUMAN	HEATR1	55127	dependent
HIRP3_HUMAN	HIRIP3	8479	dependent
IMP3_HUMAN	IMP3	55272	dependent
IMP4_HUMAN	IMP4	92856	dependent
K0020_HUMAN	PUM3	9933	dependent
KI67_HUMAN	MKI67	4288	dependent
KRR1_HUMAN	KRR1	11103	dependent
LAS1L_HUMAN	LAS1L	81887	dependent
LLPH_HUMAN	LLPH	84298	dependent
LYAR_HUMAN	LYAR	55646	dependent
MAK16_HUMAN	MAK16	84549	dependent
MDN1_HUMAN	MDN1	23195	dependent
MET16_HUMAN	METTL16	79066	dependent
MK67I_HUMAN	NIFK	84365	dependent
MPP10_HUMAN	MPHOSPH10	10199	dependent
MYADM_HUMAN	MYADM	91663	dependent
NAT10_HUMAN	NAT10	55226	dependent
NEP1_HUMAN	EMG1	10436	dependent
NGDN_HUMAN	NGDN	25983	dependent
NH2L1_HUMAN	SNU13	4809	dependent
NOC2L_HUMAN	NOC2L	26155	dependent
NOC3L_HUMAN	NOC3L	64318	dependent
NOC4L_HUMAN	NOC4L	79050	dependent
NOG2_HUMAN	GNL2	29889	dependent
NOL10_HUMAN	NOL10	79954	dependent
NOL11_HUMAN	NOL11	25926	dependent
NOL6_HUMAN	NOL6	65083	dependent
NOL7_HUMAN	NOL7	51406	dependent
NOL8_HUMAN	NOL8	55035	dependent
NOL9_HUMAN	NOL9	79707	dependent
NOLC1_HUMAN	NOLC1	9221	dependent
NOM1_HUMAN	NOM1	64434	dependent
NOP14_HUMAN	NOP14	8602	dependent
NOP16_HUMAN	NOP16	51491	dependent
NOP9_HUMAN	NOP9	161424	dependent
NPA1P_HUMAN	URB1	9875	dependent
NSA2_HUMAN	NSA2	10412	dependent
NSUN2_HUMAN	NSUN2	54888	dependent
PARP1_HUMAN	PARP1	142	dependent
PCLO_HUMAN	PCLO	27445	dependent
PHB_HUMAN	PHB	5245	dependent
PNO1_HUMAN	PNO1	56902	dependent
POP1_HUMAN	POP1	10940	dependent
PPIE_HUMAN	PPIE	10450	dependent
PPIL4_HUMAN	PPIL4	85313	dependent
PRDM8_HUMAN	PRDM8	56978	dependent
PRDX1_HUMAN	PRDX1	5052	dependent
PWP2_HUMAN	PWP2	5822	dependent
RAN_HUMAN	RAN	5901	dependent
RBM34_HUMAN	RBM34	23029	dependent
RCL1_HUMAN	RCL1	10171	dependent
REXO4_HUMAN	REXO4	57109	dependent
RL10A_HUMAN	RPL10A	4736	dependent
RL11_HUMAN	RPL11	6135	dependent
RL15_HUMAN	RPL15	6138	dependent
RL21_HUMAN	RPL21	6144	dependent
RL23_HUMAN	RPL23	9349	dependent
RL26_HUMAN	RPL26	6154	dependent
RL35A_HUMAN	RPL35A	6165	dependent
RL7A_HUMAN	RPL7A	6130	dependent
RL7L_HUMAN	RPL7L1	285855	dependent
RPF1_HUMAN	RPF1	80135	dependent
RPF2_HUMAN	RPF2	84154	dependent
RRMJ3_HUMAN	FTSJ3	117246	dependent
RRP1_HUMAN	RRP1	8568	dependent
RRP12_HUMAN	RRP12	23223	dependent
RRP1B_HUMAN	RRP1B	23076	dependent
RRP36_HUMAN	RRP36	88745	dependent
RRP7A_HUMAN	RRP7A	27341	dependent
RRP8_HUMAN	RRP8	23378	dependent
RRS1_HUMAN	RRS1	23212	dependent
RS16_HUMAN	RPS16	6217	dependent
RS4X_HUMAN	RPS4X	6191	dependent
RT63_HUMAN	MRPL57	78988	dependent
RUXG_HUMAN	SNRPG	6637	dependent
SAS10_HUMAN	UTP3	57050	dependent
SK2L2_HUMAN	SKIV2L2	23517	dependent
SPS2L_HUMAN	SPATS2L	26010	dependent
SRFB1_HUMAN	SRFBP1	153443	dependent
SSF1_HUMAN	PPAN	56342	dependent
SSRG_HUMAN	SSR3	6747	dependent
SUMO1_HUMAN	SUMO1	7341	dependent
