master_protein	dosage	replicate	sample_id	Light	Heavy	Ratio
A6NGN9	150	1	150_1	27.8282037106271	24.5068809000116	3.32132281061547
A8MWD9	150	1	150_1	25.7818179276105	24.4694858183583	1.31233210925225
O00116	150	1	150_1	22.8430684181853	18.8373815502759	4.00568686790934
O00154	150	1	150_1	22.8106861606819	17.9920310573103	4.81865510337159
O00159	150	1	150_1	21.0667750687548	18.8016767869884	2.26509828176649
O00203	150	1	150_1	25.5780570198263	20.9725413279387	4.60551569188753
O00232	150	1	150_1	23.2947396464434	20.1319473673082	3.16279227913522
O00299	150	1	150_1	23.8213929254426	21.9728445068243	1.84854841861831
O00461	150	1	150_1	22.5272353985147	19.1282632255159	3.39897217299878
O00468	150	1	150_1	23.0583261534503	21.2453247409657	1.81300141248454
O00567	150	1	150_1	21.83736491361	19.4515277150507	2.38583719855928
O00592	150	1	150_1	30.7525452619454	27.5681931898678	3.18435207207759
O14646	150	1	150_1	26.1112786531948	21.7618238934919	4.34945475970294
O14929	150	1	150_1	21.9487778593564	18.9433504287841	3.00542743057231
O14979	150	1	150_1	23.0828395970744	22.7675936655688	0.315245931505522
O15031	150	1	150_1	17.334727199067	18.2179766247845	-0.883249425717434
O15042	150	1	150_1	20.6809853686345	19.0670473348579	1.61393803377657
O15118	150	1	150_1	25.8723167617292	20.4375593732287	5.43475738850053
O15230	150	1	150_1	21.3183795157964	18.9895386379615	2.32884087783489
O15355	150	1	150_1	21.5251613751888	19.1630009777721	2.36216039741663
O15371	150	1	150_1	23.7745474011125	21.7306558753982	2.04389152571432
O15439	150	1	150_1	22.8451760811473	18.9062447135257	3.93893136762153
O15440	150	1	150_1	21.0446022346241	17.0971268237853	3.94747541083872
O15479	150	1	150_1	25.5115029450877	22.0564251204648	3.45507782462297
O43143	150	1	150_1	21.7725457388664	20.3430964093092	1.42944932955724
O43175	150	1	150_1	26.483411800212	23.7990859183112	2.68432588190071
O43194	150	1	150_1	23.1831184873649	19.0945635165883	4.08855497077666
O43390	150	1	150_1	22.7692842002601	20.9521324183674	1.81715178189268
O43491	150	1	150_1	21.6123429948166	17.0036057500971	4.60873724471958
O43493	150	1	150_1	26.0472100653382	19.5144742428409	6.53273582249733
O43719	150	1	150_1	23.8651412075852	20.25234204627	3.61279916131515
