Accession Number	Alternate ID	DMSO_B	DMSO_A	TUNIC_A	TUNIC_B	TUNICISRIB_A	TUNICISRIB_B	ISRIB_A	ISRIB_B
ALBU_BOVIN	ALB	1268	2100	1265	1161	1681	1480	1218	1280
ADH1_YEAST	ADH1	951	1269	953	907	1203	1118	980	1070
TRYP_PIG		240	439	292	252	275	252	254	239
NUCL_HUMAN	NCL	209	267	235	251	208	227	181	177
FLNC_HUMAN	FLNC	210	427	286	279	91	77	255	288
PLEC_HUMAN	PLEC	227	405	279	270	83	83	191	222
FIBB_HUMAN	FGB	302	247	222	244	186	188	134	164
FLNA_HUMAN	FLNA	201	389	245	218	54	81	213	240
K2C1_HUMAN	KRT1	181	224	123	147	154	136	105	107
HNRPM_HUMAN	HNRNPM	122	227	135	120	109	102	89	67
LPPRC_HUMAN	LRPPRC	81	163	88	101	47	81	75	79
MYH9_HUMAN	MYH9	92	142	102	100	37	38	78	97
K1C10_HUMAN	KRT10	112	158	91	82	85	68	54	55
HNRPC_HUMAN	HNRNPC	77	126	97	99	53	66	76	69
FUBP2_HUMAN	KHSRP	73	132	97	101	60	63	58	48
HNRPF_HUMAN	HNRNPF	62	90	66	68	44	48	38	40
RS2_HUMAN	RPS2	73	65	67	72	59	49	50	52
AHNK_HUMAN	AHNAK	79	130	100	108	22	17	38	61
YBOX1_HUMAN	YBX1	67	97	80	80	54	59	52	42
HNRPR_HUMAN	HNRNPR	65	112	71	77	52	52	61	50
FAS_HUMAN	FASN	52	122	54	44	13	12	86	82
ACTB_HUMAN (+1)	ACTB	58	69	61	54	35	38	78	60
HNRPU_HUMAN	HNRNPU	55	76	66	75	49	54	42	54
PTBP1_HUMAN	PTBP1	43	90	47	50	37	44	30	24
ROA1_HUMAN	HNRNPA1	52	91	76	72	38	41	40	35
SFPQ_HUMAN	SFPQ	54	87	61	69	35	44	26	33
PRKDC_HUMAN	PRKDC	47	89	43	37	1	1	48	60
ROA2_HUMAN	HNRNPA2B1	70	80	70	61	43	42	56	44
HS90B_HUMAN	HSP90AB1	38	87	44	53	27	33	48	50
DHX9_HUMAN	DHX9	49	73	59	62	18	19	30	31
CSDE1_HUMAN	CSDE1	49	62	42	42	34	37	26	26
FLNB_HUMAN	FLNB	58	147	75	68	13	15	72	89
HNRPD_HUMAN	HNRNPD	42	45	50	51	37	26	27	32
NONO_HUMAN	NONO	45	58	43	50	34	35	29	42
RALY_HUMAN	RALY	42	55	37	39	33	29	29	36
RL5_HUMAN	RPL5	34	33	30	31	26	31	19	24
HNRPK_HUMAN	HNRNPK	38	60	42	41	34	21	26	18
K1C9_HUMAN	KRT9	62	89	46	51	24	37	35	42
PABP1_HUMAN	PABPC1	39	61	36	59	20	26	20	24
HNRPQ_HUMAN	SYNCRIP	57	90	77	71	53	59	50	32
DDX5_HUMAN	DDX5	34	77	38	35	33	28	19	21
PAIRB_HUMAN	SERBP1	36	55	45	37	25	26	29	32
RL40_HUMAN	UBA52	32	43	0	37	20	22	22	0
HNRPL_HUMAN	HNRNPL	40	57	41	30	24	22	17	13
RBMX_HUMAN	RBMX	34	45	22	27	29	27	26	24
ELAV1_HUMAN	ELAVL1	31	58	33	35	19	18	24	33
ITB1_HUMAN	ITGB1	19	46	29	37	30	24	27	26
CLH1_HUMAN	CLTC	40	43	28	30	7	9	30	41
EF2_HUMAN	EEF2	25	43	29	30	11	14	37	23
