Names	DMSO	TUNIC	TUNICISRIB	ISRIB	Class
DDX5_HUMAN	0.031740273	0.030092976	0.019275045	0.016002797	Down-Down-Down
HNRPL_HUMAN	0.029344299	0.02912543	0.01457104	0.012056779	Down-Down-Down
HNRH1_HUMAN	0.026509689	0.024057903	0.011813271	0.017744253	Down-Down-Down
LMNB1_HUMAN	0.025966652	0.024022497	0.010976012	0.017174672	Down-Down-Down
K1C16_HUMAN	0.025467928	0.017774986	0	0.006568144	Down-Down-Down
RBMX_HUMAN	0.024121226	0.020323559	0.01774744	0.020048235	Down-Down-Down
K1C14_HUMAN	0.024121226	0.020323559	0.015584554	0.016744279	Down-Down-Down
RL40_HUMAN	0.022856392	0.015934539	0.013381272	0.009031199	Down-Down-Down
K2C6A_HUMAN	0.020319213	0	0	0	Down-Down-Down
DDX3X_HUMAN	0.018913174	0.014435899	0.007325916	0.006879233	Down-Down-Down
RBM14_HUMAN	0.017804567	0.014937375	0.011056803	0.010044001	Down-Down-Down
K2C5_HUMAN	0.01755145	0.005386184	0.007744546	0.002794027	Down-Down-Down
HNRH2_HUMAN	0.016859697	0.016016927	0.003040541	0	Down-Down-Down
ILF3_HUMAN	0.016063542	0.013391754	0.004704005	0.004416179	Down-Down-Down
RS3_HUMAN	0.015029292	0.007038024	0.007623358	0.011255644	Down-Down-Down
KPYM_HUMAN	0.01472435	0.009551191	0.003811679	0.013248538	Down-Down-Down
RMXL1_HUMAN	0.014709329	0.005928854	0.004759072	0.004926108	Down-Down-Down
EF1A1_HUMAN	0.014589905	0	0	0.010546875	Down-Down-Down
RBP2_HUMAN	0.014002554	0.011238438	0.002541119	0.008772706	Down-Down-Down
MAP4_HUMAN	0.013861349	0.010772368	0.00706887	0.008852242	Down-Down-Down
SND1_HUMAN	0.013690101	0.008760677	0.006352798	0.00879259	Down-Down-Down
SRSF2_HUMAN	0.013191377	0.008583646	0.009867035	0.012818144	Down-Down-Down
PDIA3_HUMAN	0.012901457	0.007327062	0.005717519	0.011957358	Down-Down-Down
HS71A_HUMAN (+1)	0.012187171	0.008689865	0	0.011195992	Down-Down-Down
TBB4B_HUMAN	0.011398528	0.007114625	0.002878957	0.009183215	Down-Down-Down
RS3A_HUMAN	0.009649992	0.006212104	0.00063528	0.007170438	Down-Down-Down
K1C17_HUMAN	0.009463722	0	0	0.003694581	Down-Down-Down
LMNA_HUMAN	0.009263182	0.005816847	0.005122635	0.003985786	Down-Down-Down
UBA1_HUMAN	0.009106955	0.003734344	0	0.008070992	Down-Down-Down
AN32B_HUMAN	0.008943218	0.006141292	0.008813126	0.004396295	Down-Down-Down
PTBP3_HUMAN	0.008392669	0	0.001784652	0	Down-Down-Down
MAGB2_HUMAN	0.00830329	0.007433281	0.002621911	0.005998563	Down-Down-Down
RS15_HUMAN	0.008228932	0.0075395	0.001608398	0.002813911	Down-Down-Down
ENOA_HUMAN	0.008221421	0.007899351	0.002878957	0.006409072	Down-Down-Down
F120A_HUMAN	0.008072705	0.007828538	0.002919353	0.00566759	Down-Down-Down
CH60_HUMAN	0.008005858	0.003374493	0.006393194	0.00234375	Down-Down-Down
GRP75_HUMAN	0.007678384	0.005456997	0.005082239	0.004806804	Down-Down-Down
MOV10_HUMAN	0.007365931	0.005852254	0.002324469	0.002774143	Down-Down-Down
DHX30_HUMAN	0.007365931	0.003339087	0.000675676	0.002813911	Down-Down-Down
TFR1_HUMAN	0.00735842	0.005315371	0.001689189	0.002774143	Down-Down-Down
RS24_HUMAN	0.007120324	0.004849302	0.002798166	0.003985786	Down-Down-Down
IF4H_HUMAN	0.007045967	0.003663531	0.003852075	0.00400567	Down-Down-Down
RL7_HUMAN	0.007030945	0.006642767	0.005122635	0.004396295	Down-Down-Down
IF4G1_HUMAN	0.006487907	0.002908424	0	0.001171875	Down-Down-Down
AT1A1_HUMAN	0.006406039	0.00129199	0	0.003654813	Down-Down-Down
RS4X_HUMAN	0.006167944	0.00459567	0.004704005	0.000390625	Down-Down-Down
FUS_HUMAN	0.006093586	0.003339087	0.000337838	0.000821018	Down-Down-Down
RRP5_HUMAN	0.006093586	0.000861326	0.001986631	0.001973009	Down-Down-Down
UBAP2_HUMAN	0.005952381	0	0.00275777	0.002032661	Down-Down-Down
GCN1_HUMAN	0.005937359	0	0	0.004806804	Down-Down-Down
ACLY_HUMAN	0.005929848	0.000861326	0.000973118	0.005197429	Down-Down-Down
KRT86_HUMAN (+1)	0.005617395	0.002082503	0	0.002403402	Down-Down-Down
RS16_HUMAN	0.005535527	0.003840563	0.002581515	0.00078125	Down-Down-Down
RL29_HUMAN	0.00547619	0.00247776	0.000932722	0	Down-Down-Down
PUF60_HUMAN	0.005297431	0.000790514	0.001608398	0.001582384	Down-Down-Down
RS6_HUMAN	0.005223073	0.00294383	0.003055212	0.003965902	Down-Down-Down
NUMA1_HUMAN	0.005148716	0.000861326	0	0.001191759	Down-Down-Down
LDHB_HUMAN	0.004984978	0.004094194	0.002838561	0.00478692	Down-Down-Down
PTBP2_HUMAN	0.004984978	0.003698937	0.002878957	0.00322442	Down-Down-Down
PRP8_HUMAN	0.004836263	0.003162055	0	0.001211643	Down-Down-Down
KI67_HUMAN	0.004665014	0.003628125	0.000297442	0.000801134	Down-Down-Down
CKAP5_HUMAN	0.004583146	0.00129199	0	0.002383518	Down-Down-Down
SRSF1_HUMAN	0.004508788	0.001687247	0.00127056	0.002423286	Down-Down-Down
IF2P_HUMAN	0.004501277	0.000395257	0.003690492	0.004396295	Down-Down-Down
PRC2A_HUMAN	0.00443443	0.00165184	0.000675676	0.000410509	Down-Down-Down
SF3B4_HUMAN	0.004426919	0.004094194	0.003136003	0.003634929	Down-Down-Down
SF3B1_HUMAN	0.004188824	0.002802205	0.000337838	0.001953125	Down-Down-Down
NHP2_HUMAN	0.004188824	0.002047097	0.001946235	0.002012777	Down-Down-Down
NACAM_HUMAN	0.004114466	0.00082592	0	0.001171875	Down-Down-Down
XPO1_HUMAN	0.004032597	0	0	0.002813911	Down-Down-Down
RS8_HUMAN	0.003958239	0.003303681	0.003176399	0.003204536	Down-Down-Down
RL27_HUMAN	0.00386886	0.002908424	0.001568002	0.001992893	Down-Down-Down
RBM4_HUMAN	0.00386886	0.002082503	0.001013514	0.001992893	Down-Down-Down
GFPT1_HUMAN	0.003645786	0	0.000892326	0.001231527	Down-Down-Down
CH10_HUMAN	0.003563918	0.000430663	0.003216795	0.001211643	Down-Down-Down
GRSF1_HUMAN	0.00348956	0.002513167	0.002203282	0.001171875	Down-Down-Down
CKAP4_HUMAN	0.00340018	0.002047097	0.000675676	0.000821018	Down-Down-Down
CCAR2_HUMAN	0.00340018	0.000395257	0	0.001602268	Down-Down-Down
LARP1_HUMAN	0.003243954	0.001687247	0.00127056	0.002052545	Down-Down-Down
IF2B2_HUMAN	0.003162085	0.001687247	0.001013514	0.001992893	Down-Down-Down
AHNK2_HUMAN	0.003162085	0.00129199	0	0.00078125	Down-Down-Down
DDB1_HUMAN	0.003095238	0.000430663	0	0.002383518	Down-Down-Down
RS13_HUMAN	0.003005858	0.00294383	0.00127056	0	Down-Down-Down
PUM2_HUMAN	0.002857143	0.002766798	0	0	Down-Down-Down
ATPA_HUMAN	0.002693405	0.001256583	0.00063528	0.001602268	Down-Down-Down
ECHA_HUMAN	0.002619048	0.000430663	0	0.001211643	Down-Down-Down
DDX56_HUMAN	0.002611537	0.000790514	0.000973118	0.001211643	Down-Down-Down
RS9_HUMAN	0.002611537	0.002011691	0.001608398	0.001992893	Down-Down-Down
LEG1_HUMAN	0.002611537	0.000430663	0.001946235	0.00234375	Down-Down-Down
XRN2_HUMAN	0.002611537	0.001687247	0.000337838	0.000821018	Down-Down-Down
PRDX4_HUMAN	0.002529668	0.000861326	0	0.001231527	Down-Down-Down
NOP2_HUMAN	0.00245531	0.000430663	0.000594884	0	Down-Down-Down
RBM15_HUMAN	0.002380952	0.00082592	0.000973118	0.000801134	Down-Down-Down
TCPA_HUMAN	0.002373441	0.000430663	0	0.000410509	Down-Down-Down
RS19_HUMAN	0.002365931	0.000430663	0.00127056	0.001973009	Down-Down-Down
YTHD2_HUMAN	0.002209704	0.000790514	0.000337838	0	Down-Down-Down
ZN326_HUMAN	0.002142857	0.00129199	0.000594884	0.000390625	Down-Down-Down
RL24_HUMAN	0.002135346	0.001256583	0.001568002	0.001171875	Down-Down-Down
AKAP8_HUMAN	0.002135346	0.00165184	0.000337838	0	Down-Down-Down
KIF23_HUMAN	0.002135346	0.00129199	0	0	Down-Down-Down
DSRAD_HUMAN	0.002060988	0	0	0	Down-Down-Down
HXK1_HUMAN	0.00197912	0.001256583	0	0.001602268	Down-Down-Down
RS20_HUMAN	0.00197912	0.00082592	0.000675676	0.00078125	Down-Down-Down
U2AF1_HUMAN (+1)	0.00197912	0	0	0.001602268	Down-Down-Down
NSUN5_HUMAN	0.00197912	0.000395257	0	0	Down-Down-Down
RS10_HUMAN	0.001904762	0.000790514	0.000594884	0	Down-Down-Down
SPTB2_HUMAN	0.001904762	0.000395257	0	0	Down-Down-Down
MYH10_HUMAN	0.001904762	0.000861326	0.001351351	0.000821018	Down-Down-Down
RBM28_HUMAN	0.001897251	0.00129199	0.001865444	0.00078125	Down-Down-Down
IMDH2_HUMAN	0.001822893	0.001185771	0.000337838	0	Down-Down-Down
