Accession Number	NonStarved_A	NonStarved_B	Starved_A	Starved_B	Insulin_A	Insulin_B
P02769|ALBU_BOVIN	1272	1281	1417	1390	1377	1229
P00330|ADH1_YEAST	975	1008	1104	1138	1017	956
P00761|TRYP_PIG	322	314	304	258	309	247
P19338|NUCL_HUMAN	244	246	313	339	335	324
P04264|K2C1_HUMAN	187	166	107	104	87	112
P52272|HNRPM_HUMAN	173	179	147	184	153	161
P02768|ALBU_HUMAN	137	173	129	164	163	167
Q14315|FLNC_HUMAN	119	107	112	112	79	91
P67809|YBOX1_HUMAN	117	114	95	105	71	76
P07910|HNRPC_HUMAN	114	106	132	142	113	118
Q15149|PLEC_HUMAN	112	142	150	206	91	118
O43390|HNRPR_HUMAN	112	102	99	97	85	95
P21333|FLNA_HUMAN	110	104	85	107	88	102
P15880|RS2_HUMAN	102	109	84	83	73	66
Q92945|FUBP2_HUMAN	101	97	99	101	91	80
O60506|HNRPQ_HUMAN	101	85	87	81	88	73
P09651|ROA1_HUMAN	95	90	75	72	62	60
Q09666|AHNK_HUMAN	90	100	109	108	33	43
P42704|LPPRC_HUMAN	88	113	101	104	87	76
P13645|K1C10_HUMAN	88	87	42	50	59	56
P22626|ROA2_HUMAN	79	80	82	83	74	77
P61978|HNRPK_HUMAN	74	54	51	47	54	45
P35527|K1C9_HUMAN	74	85	34	46	47	46
P52597|HNRPF_HUMAN	73	75	69	57	65	55
Q15233|NONO_HUMAN	72	84	60	65	57	57
P23246|SFPQ_HUMAN	70	75	63	61	66	58
P26599|PTBP1_HUMAN	69	82	51	52	58	43
Q14103|HNRPD_HUMAN	67	69	61	59	57	56
Q8NC51|PAIRB_HUMAN	67	67	47	59	41	61
Q00839|HNRPU_HUMAN	66	95	80	81	71	75
P35908|K22E_HUMAN	65	68	42	34	39	39
O75534|CSDE1_HUMAN	61	83	40	47	47	55
P17844|DDX5_HUMAN	55	52	43	49	38	38
Q15717|ELAV1_HUMAN	54	56	56	49	54	42
Q7L014|DDX46_HUMAN	54	45	49	68	25	30
P16989|YBOX3_HUMAN	52	51	46	42	27	32
P08238|HS90B_HUMAN	49	52	67	71	49	44
P62917|RL8_HUMAN	49	54	42	46	44	45
Q9NR30|DDX21_HUMAN	48	63	50	49	40	45
P63261|ACTG_HUMAN	45	42	53	65	44	57
P31943|HNRH1_HUMAN	45	40	30	30	37	30
P38159|RBMX_HUMAN	44	38	33	36	26	20
P20700|LMNB1_HUMAN	43	53	31	46	60	57
P30101|PDIA3_HUMAN	43	48	44	56	42	35
P46777|RL5_HUMAN	40	61	50	46	60	42
Q08211|DHX9_HUMAN	39	40	33	39	38	30
Q9UKM9|RALY_HUMAN	39	36	36	47	44	47
P11940|PABP1_HUMAN	39	46	33	46	31	36
P55795|HNRH2_HUMAN	36	30	26	22	22	28
P14866|HNRPL_HUMAN	35	43	35	41	50	33
Q9BQE3|TBA1C_HUMAN	35	0	43	48	47	38
Q96I24|FUBP3_HUMAN	35	46	25	31	33	28
P51991|ROA3_HUMAN	35	36	29	31	30	34
P02533|K1C14_HUMAN	35	31	21	21	24	20
Q15365|PCBP1_HUMAN	34	30	33	39	34	35
P68104|EF1A1_HUMAN (+1)	33	37	32	30	22	26
Q15366|PCBP2_HUMAN	33	34	31	38	31	28
Q96E39|RMXL1_HUMAN	32	26	26	27	19	13
P02538|K2C6A_HUMAN	32	16	0	7	0	10
Q96AE4|FUBP1_HUMAN	31	47	28	39	33	28
P07900|HS90A_HUMAN	31	30	39	41	27	26
Q13148|TADBP_HUMAN	30	35	21	24	24	21
Q13283|G3BP1_HUMAN	30	29	15	13	18	30
P31942|HNRH3_HUMAN	29	47	42	24	42	36
O00571|DDX3X_HUMAN	29	30	21	16	21	25
P13647|K2C5_HUMAN	29	20	10	5	5	11
P08779|K1C16_HUMAN	29	32	17	0	21	0
P11142|HSP7C_HUMAN	27	31	39	38	41	34
P05556|ITB1_HUMAN	27	27	42	41	29	27
P08670|VIME_HUMAN	27	38	32	26	12	18
Q13310|PABP4_HUMAN	27	25	21	39	20	19
P62979|RS27A_HUMAN	26	19	25	24	14	20
Q92841|DDX17_HUMAN	26	30	26	26	22	17
