X_id	name	symbol	uniprot	domains
421	"ARVCF, delta catenin family member"	ARVCF	O00192	Armadillo; ARM-like; Plakophilin/d_Catenin; ARM-type_fold; ARVCF
3839	karyopherin subunit alpha 3	KPNA3	O00505	Armadillo; Arm_3; ARM-type_fold; Importing_su_alpha; Importin-a_IBB; ARM-like
3840	karyopherin subunit alpha 4	KPNA4	O00629	Armadillo; Arm_3; ARM-type_fold; Importing_su_alpha; Importin-a_IBB; ARM-like
23633	karyopherin subunit alpha 6	KPNA6	O60684	Armadillo; Arm_3; ARM-type_fold; Importing_su_alpha; Importin-a_IBB; ARM-like
1500	catenin delta 1	CTNND1	O60716	Armadillo; Catenin_d1; ARM-like; Plakophilin/d_Catenin; ARM-type_fold
8615	USO1 vesicle transport factor	USO1	O60763	Armadillo; Vesicle_P115-like; Vesicle_Uso1_P115_head; Uso1_p115_C; ARM-type_fold; ARM-like
1499	catenin beta 1	CTNNB1	P35222	Armadillo; ARM-like; Beta-catenin; ARM-type_fold
3838	karyopherin subunit alpha 2	KPNA2	P52292	Armadillo; Arm_3; ARM-type_fold; Importing_su_alpha; Importin-a_IBB; ARM-like
3836	karyopherin subunit alpha 1	KPNA1	P52294	Armadillo; Arm_3; ARM-type_fold; Importing_su_alpha; Importin-a_IBB; ARM-like
5910	Rap1 GTPase-GDP dissociation stimulator 1	RAP1GDS1	P52306	Armadillo; ARM-like; ARM-type_fold
163	adaptor related protein complex 2 beta 1 subunit	AP2B1	P63010	Armadillo; Clathrin_b-adaptin_app_Ig-like; Coatomer/clathrin_app_Ig-like; ARM-type_fold; B-adaptin_app_sub_C; AP_beta; Coatomer/calthrin_app_sub_C; Clathrin/coatomer_adapt-like_N; Clathrin_a/b/g-adaptin_app_Ig; AP_complex_bsu_1_2_4; ARM-like; Beta2_adaptin/TBP_C_dom
3837	karyopherin subunit beta 1	KPNB1	Q14974	Armadillo; HEAT; Importin-beta_N; HEAT_type_2; ARM-type_fold; ARM-like
