UNIPROT	KEGGID	ID	SYMBOL	GENE_DESCRIPTION
A0AVF1	hsa:79989	79989	TTC26	 tetratricopeptide repeat domain 26
A0AVT1	hsa:55236	55236	UBA6	 ubiquitin like modifier activating enzyme 6
A0FGR8	hsa:57488	57488	ESYT2	 extended synaptotagmin 2
A0JLT2	hsa:219541	219541	MED19	 mediator complex subunit 19
A0JNW5	hsa:23074	23074	UHRF1BP1L	 UHRF1 binding protein 1 like
A0MZ66	hsa:57698	57698	SHTN1	 shootin 1
A0PJW6	hsa:79064	79064	TMEM223	 transmembrane protein 223
A0PK00	hsa:144404	144404	TMEM120B	 transmembrane protein 120B
A1A4S6	hsa:79658	79658	ARHGAP10	 Rho GTPase activating protein 10
A1L020	hsa:92312	92312	MEX3A	 mex-3 RNA binding family member A
A1L0T0	hsa:10994	10994	ILVBL	 ilvB acetolactate synthase like
A1L390	hsa:26030	26030	PLEKHG3	 pleckstrin homology and RhoGEF domain containing G3
A1L3X0	hsa:79993	79993	ELOVL7	 ELOVL fatty acid elongase 7
A1X283	hsa:285590	285590	SH3PXD2B	 SH3 and PX domains 2B
A2RRD8	hsa:162967	162967	ZNF320	 zinc finger protein 320
A2RRP1	hsa:51594	51594	NBAS	 neuroblastoma amplified sequence
A2RTX5	hsa:123283	123283	TARSL2	 threonyl-tRNA synthetase like 2
A2RUC4	hsa:129450	129450	TYW5	 tRNA-yW synthesizing protein 5
A2RUS2	hsa:22898	22898	DENND3	 DENN domain containing 3
A2VDF0	hsa:282969	282969	FUOM	 fucose mutarotase
A2VDJ0	hsa:23240	23240	TMEM131L	 transmembrane 131 like
A3KMH1	hsa:23078	23078	VWA8	 von Willebrand factor A domain containing 8
A3KN83	hsa:55206	55206	SBNO1	 strawberry notch homolog 1
A4D1E9	hsa:85865	85865	GTPBP10	 GTP binding protein 10
A4D1P6	hsa:29062	29062	WDR91	 WD repeat domain 91
A5D8V6	hsa:55048	55048	VPS37C	" VPS37C, ESCRT-I subunit"
A5PLN9	hsa:80006	80006	TRAPPC13	 trafficking protein particle complex 13
A5YKK6	hsa:23019	23019	CNOT1	 CCR4-NOT transcription complex subunit 1
A6ND36	hsa:644815	644815	FAM83G	 family with sequence similarity 83 member G
A6NDG6	hsa:283871	283871	PGP	 phosphoglycolate phosphatase
A6NDU8	hsa:285636	285636	C5orf51	 chromosome 5 open reading frame 51
A6NED2	hsa:91433	91433	RCCD1	 RCC1 domain containing 1
A6NFI3	hsa:100131017	100131017	ZNF316	 zinc finger protein 316
A6NFN3	hsa:146713	146713	RBFOX3	" RNA binding protein, fox-1 homolog 3"
A6NHL2	hsa:79861	79861	TUBAL3	 tubulin alpha like 3
A6NHR9	hsa:23347	23347	SMCHD1	 structural maintenance of chromosomes flexible hinge domain containing 1
A6NHX0	hsa:729438	729438	CASTOR2	 cytosolic arginine sensor for mTORC1 subunit 2
A6NIH7	hsa:84747	84747	UNC119B	 unc-119 lipid binding chaperone B
A6NJ78	hsa:196074	196074	METTL15	 methyltransferase like 15
A6NKD9	hsa:317762	317762	CCDC85C	 coiled-coil domain containing 85C
A6NLU0	hsa:342931	342931	RFPL4A	 ret finger protein like 4A
