Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
Q14690	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	Homo sapiens (Human)	1871	PDCD11	RRP5_HUMAN
P08238	reviewed	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	Homo sapiens (Human)	724	HSP90AB1	HS90B_HUMAN
P07900	reviewed	Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	Homo sapiens (Human)	732	HSP90AA1	HS90A_HUMAN
P13647	reviewed	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	Homo sapiens (Human)	590	KRT5	K2C5_HUMAN
P02533	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	Homo sapiens (Human)	472	KRT14	K1C14_HUMAN
P63261	reviewed	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	Homo sapiens (Human)	375	ACTG1	ACTG_HUMAN
P02538	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	Homo sapiens (Human)	564	KRT6A	K2C6A_HUMAN
P67809	reviewed	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	Homo sapiens (Human)	324	YBX1	YBOX1_HUMAN
P19338	reviewed	Nucleolin (Protein C23)	Homo sapiens (Human)	710	NCL	NUCL_HUMAN
P06748	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Homo sapiens (Human)	294	NPM1	NPM_HUMAN
