Query	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (InterPro)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q8TCG1	Q8TCG1	CIP2A_HUMAN	reviewed	Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)	KIAA1524 CIP2A	Homo sapiens (Human)	905	IPR011989;IPR016024;	positive regulation of neural precursor cell proliferation [GO:2000179]; spermatogenesis [GO:0007283]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]; protein homodimerization activity [GO:0042803]
A6ND36	A6ND36	FA83G_HUMAN	reviewed	Protein FAM83G (Protein associated with SMAD1)	FAM83G PAWS1	Homo sapiens (Human)	823	IPR012461;	BMP signaling pathway [GO:0030509]	cytosol [GO:0005829]; nucleus [GO:0005634]	
P48060	P48060	GLIP1_HUMAN	reviewed	Glioma pathogenesis-related protein 1 (GliPR 1) (Protein RTVP-1)	GLIPR1 GLIPR RTVP1	Homo sapiens (Human)	266	IPR001283;IPR018244;IPR014044;IPR035940;IPR034121;IPR002413;	neutrophil degranulation [GO:0043312]; regulation of lipid metabolic process [GO:0019216]	azurophil granule membrane [GO:0035577]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	
Q8WW12	Q8WW12	PCNP_HUMAN	reviewed	PEST proteolytic signal-containing nuclear protein (PCNP) (PEST-containing nuclear protein)	PCNP	Homo sapiens (Human)	178	IPR029169;	cell cycle [GO:0007049]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]	nuclear body [GO:0016604]; nucleus [GO:0005634]	
Q9NYT0	Q9NYT0	PLEK2_HUMAN	reviewed	Pleckstrin-2	PLEK2	Homo sapiens (Human)	353	IPR000591;IPR011993;IPR001849;IPR037370;IPR037369;IPR036388;IPR036390;	actin cytoskeleton organization [GO:0030036]; intracellular signal transduction [GO:0035556]; positive regulation of cell projection organization [GO:0031346]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; lamellipodium membrane [GO:0031258]	phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]
Q9NS91	Q9NS91	RAD18_HUMAN	reviewed	E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (Postreplication repair protein RAD18) (hHR18) (hRAD18) (RING finger protein 73) (RING-type E3 ubiquitin transferase RAD18)	RAD18 RNF73	Homo sapiens (Human)	495	IPR003034;IPR036361;IPR006642;IPR001841;IPR013083;IPR017907;	cellular response to DNA damage stimulus [GO:0006974]; DNA damage response, detection of DNA damage [GO:0042769]; DNA repair [GO:0006281]; negative regulation of cell death [GO:0060548]; positive regulation of chromosome segregation [GO:0051984]; postreplication repair [GO:0006301]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein ubiquitination [GO:0016567]; response to UV [GO:0009411]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nuclear inclusion body [GO:0042405]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; replication fork [GO:0005657]; site of double-strand break [GO:0035861]	damaged DNA binding [GO:0003684]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein complex binding [GO:0032403]; single-stranded DNA-dependent ATPase activity [GO:0043142]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; Y-form DNA binding [GO:0000403]
Q96PK6	Q96PK6	RBM14_HUMAN	reviewed	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	RBM14 SIP	Homo sapiens (Human)	669	IPR035979;IPR034506;IPR034507;IPR000504;	activation of innate immune response [GO:0002218]; centriole assembly [GO:0098534]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; glucocorticoid receptor signaling pathway [GO:0042921]; histone deacetylation [GO:0016575]; innate immune response [GO:0045087]; intracellular estrogen receptor signaling pathway [GO:0030520]; negative regulation of centriole replication [GO:0046600]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; response to hormone [GO:0009725]; SMAD protein signal transduction [GO:0060395]; transcription, DNA-templated [GO:0006351]	cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; mediator complex [GO:0016592]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]	ligand-dependent nuclear receptor transcription coactivator activity [GO:0030374]; protein binding, bridging [GO:0030674]; RNA binding [GO:0003723]; RNA polymerase II transcription cofactor activity [GO:0001104]
Q8NDT2	Q8NDT2	RB15B_HUMAN	reviewed	Putative RNA-binding protein 15B (One-twenty two protein 3) (HuOTT3) (RNA-binding motif protein 15B)	RBM15B OTT3	Homo sapiens (Human)	890	IPR035979;IPR034475;IPR034535;IPR034536;IPR000504;IPR016194;IPR012921;IPR010912;	mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]; viral process [GO:0016032]	nucleoplasm [GO:0005654]	nucleic acid binding [GO:0003676]; RNA binding [GO:0003723]
Q09666	Q09666	AHNK_HUMAN	reviewed	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	5890	IPR001478;IPR036034;	protein oligomerization [GO:0051259]; regulation of RNA splicing [GO:0043484]; regulation of voltage-gated calcium channel activity [GO:1901385]	actin cytoskeleton [GO:0015629]; cell-cell contact zone [GO:0044291]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; vesicle [GO:0031982]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; S100 protein binding [GO:0044548]; structural molecule activity conferring elasticity [GO:0097493]
P49454	P49454	CENPF_HUMAN	reviewed	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	Homo sapiens (Human)	3210	IPR018302;IPR019513;IPR018463;	cell differentiation [GO:0030154]; cell division [GO:0051301]; cell proliferation [GO:0008283]; chromosome segregation [GO:0007059]; DNA biosynthetic process [GO:0071897]; kidney development [GO:0001822]; kinetochore assembly [GO:0051382]; metaphase plate congression [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly checkpoint [GO:0007094]; muscle organ development [GO:0007517]; negative regulation of transcription, DNA-templated [GO:0045892]; protein transport [GO:0015031]; regulation of cell cycle [GO:0051726]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of striated muscle tissue development [GO:0016202]; response to drug [GO:0042493]; sister chromatid cohesion [GO:0007062]; ventricular system development [GO:0021591]	axoneme [GO:0005930]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; ciliary transition fiber [GO:0097539]; condensed chromosome outer kinetochore [GO:0000940]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle pole [GO:0000922]	chromatin binding [GO:0003682]; dynein complex binding [GO:0070840]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; transcription factor binding [GO:0008134]
