yourlist:M20180828A7434721E10EE6586998A056CCD0537EA67279F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
RRP5_HUMAN	Q14690	RRP5_HUMAN	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	PDCD11 KIAA0185	Homo sapiens (Human)	1871
HS90B_HUMAN	P08238	HS90B_HUMAN	reviewed	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	HSP90AB1 HSP90B HSPC2 HSPCB	Homo sapiens (Human)	724
HS90A_HUMAN	P07900	HS90A_HUMAN	reviewed	Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)	732
K2C5_HUMAN	P13647	K2C5_HUMAN	reviewed	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Homo sapiens (Human)	590
K1C14_HUMAN	P02533	K1C14_HUMAN	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	KRT14	Homo sapiens (Human)	472
ACTG_HUMAN	P63261	ACTG_HUMAN	reviewed	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	Homo sapiens (Human)	375
K2C6A_HUMAN	P02538	K2C6A_HUMAN	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	KRT6A K6A KRT6D	Homo sapiens (Human)	564
YBOX1_HUMAN	P67809	YBOX1_HUMAN	reviewed	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	YBX1 NSEP1 YB1	Homo sapiens (Human)	324
NUCL_HUMAN	P19338	NUCL_HUMAN	reviewed	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	710
NPM_HUMAN	P06748	NPM_HUMAN	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294
K1C17_HUMAN	Q04695	K1C17_HUMAN	reviewed	Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	KRT17	Homo sapiens (Human)	432
ENPL_HUMAN	P14625	ENPL_HUMAN	reviewed	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 TRA1	Homo sapiens (Human)	803
CH60_HUMAN	P10809	CH60_HUMAN	reviewed	60 kDa heat shock protein, mitochondrial (EC 3.6.4.9) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	Homo sapiens (Human)	573
SSBP_HUMAN	Q04837	SSBP_HUMAN	reviewed	Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)	SSBP1 SSBP	Homo sapiens (Human)	148
RM43_HUMAN	Q8N983	RM43_HUMAN	reviewed	39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial large ribosomal subunit protein mL43) (Mitochondrial ribosomal protein bMRP36a)	MRPL43	Homo sapiens (Human)	215
MATR3_HUMAN	P43243	MATR3_HUMAN	reviewed	Matrin-3	MATR3 KIAA0723	Homo sapiens (Human)	847
PLEC_HUMAN	Q15149	PLEC_HUMAN	reviewed	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	4684
HSP7C_HUMAN	P11142	HSP7C_HUMAN	reviewed	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	646
XRCC5_HUMAN	P13010	XRCC5_HUMAN	reviewed	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	XRCC5 G22P2	Homo sapiens (Human)	732
SMD2_HUMAN	P62316	SMD2_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118
G3BP2_HUMAN	Q9UN86	G3BP2_HUMAN	reviewed	Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2)	G3BP2 KIAA0660	Homo sapiens (Human)	482
TBB4B_HUMAN	P68371	TBB4B_HUMAN	reviewed	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	445
LPPRC_HUMAN	P42704	LPPRC_HUMAN	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	1394
HNRPM_HUMAN	P52272	HNRPM_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRNPM HNRPM NAGR1	Homo sapiens (Human)	730
HNRPK_HUMAN	P61978	HNRPK_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	Homo sapiens (Human)	463
RL4_HUMAN	P36578	RL4_HUMAN	reviewed	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	RPL4 RPL1	Homo sapiens (Human)	427
PAIRB_HUMAN	Q8NC51	PAIRB_HUMAN	reviewed	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	SERBP1 PAIRBP1 CGI-55	Homo sapiens (Human)	408
TBA1B_HUMAN	P68363	TBA1B_HUMAN	reviewed	Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	TUBA1B	Homo sapiens (Human)	451
KCRU_HUMAN	P12532	KCRU_HUMAN	reviewed	Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)	CKMT1A CKMT; CKMT1B CKMT	Homo sapiens (Human)	417
IF16_HUMAN	Q16666	IF16_HUMAN	reviewed	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	Homo sapiens (Human)	785
SMD3_HUMAN	P62318	SMD3_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	SNRPD3	Homo sapiens (Human)	126
HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	623
