Uniprot Entry	Rep1	Rep2
>sp|P07437|TBB5_HUMAN Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2	97088.23	80935.10
>sp|P68371|TBB4B_HUMAN Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1	88785.88	80905.89
>sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	99071.52	90118.39
>sp|P68104|EF1A1_HUMAN Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	53993.34	65330.76
>sp|Q9BVA1|TBB2B_HUMAN Tubulin beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1	80063.68	61401.73
>sp|Q13885|TBB2A_HUMAN Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1	79608.52	61090.45
>sp|Q5VTE0|EF1A3_HUMAN Putative elongation factor 1-alpha-like 3 OS=Homo sapiens GN=EEF1A1P5 PE=5 SV=1	51702.42	62117.80
>sp|P07737|PROF1_HUMAN Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2	57267.58	59093.44
>sp|P68363|TBA1B_HUMAN Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1	51764.19	53357.44
>sp|P04350|TBB4A_HUMAN Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2	68235.07	65038.28
>sp|Q71U36|TBA1A_HUMAN Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1	43259.72	48855.58
>sp|Q9BQE3|TBA1C_HUMAN Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1	46617.43	45237.65
>sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2	56425.51	51252.09
>sp|Q13748|TBA3C_HUMAN Tubulin alpha-3C/D chain OS=Homo sapiens GN=TUBA3C PE=1 SV=3	37041.44	34985.51
>sp|P68366|TBA4A_HUMAN Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1	41973.37	33905.38
>sp|P23528|COF1_HUMAN Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3	27588.39	26132.34
>sp|Q562R1|ACTBL_HUMAN Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2	44408.52	42527.21
>sp|P14174|MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4	79506.44	73646.96
>sp|P04075|ALDOA_HUMAN Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	27400.40	26458.75
>sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3	48118.74	68918.25
>sp|P14618|KPYM_HUMAN Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM PE=1 SV=4	38160.34	39250.71
>sp|Q06830|PRDX1_HUMAN Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1	30608.40	32159.68
>sp|Q3ZCM7|TBB8_HUMAN Tubulin beta-8 chain OS=Homo sapiens GN=TUBB8 PE=1 SV=2	34791.02	24555.41
>sp|P14618-2|KPYM_HUMAN Isoform M1 of Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM	30649.77	35670.17
>sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	65205.99	64756.70
>sp|P60174-1|TPIS_HUMAN Isoform 2 of Triosephosphate isomerase OS=Homo sapiens GN=TPI1	29639.98	25953.59
>sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2	61596.58	40308.78
">sp|P61604|CH10_HUMAN 10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2"	36757.68	30434.12
>sp|P62158|CALM_HUMAN Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2	10628.37	12238.92
>sp|P04792|HSPB1_HUMAN Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2	8077.93	8947.10
