Mass	query	Uniprot.ID	Status	Protein.names	Gene.names	Organism	Length	logFC	logCPM	F	PValue	FDR	NCL.A	NCL.B	Unstarved.A	Unstarved.B	Starved.A	Starved.B	Insulin.A	Insulin.B
H13_HUMAN	22	H13_HUMAN	P16402	reviewed	Histone H1.3 (Histone H1c) (Histone H1s-2)	HIST1H1D H1F3	Homo sapiens (Human)	221	-1.60516595379731	11.8168396130596	69.6386059442184	7.68010514392963e-06	0.00165599250759371	0	0	31	22	70	60	21	25
H14_HUMAN	22	H14_HUMAN	P10412	reviewed	Histone H1.4 (Histone H1b) (Histone H1s-4)	HIST1H1E H1F4	Homo sapiens (Human)	219	-1.51450266690135	11.8812242472094	57.9328538827776	1.72846990361545e-05	0.00165599250759371	0	0	37	24	68	62	23	26
H12_HUMAN	21	H12_HUMAN	P16403	reviewed	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	HIST1H1C H1F2	Homo sapiens (Human)	213	-1.25598871724634	12.0788757548805	57.8093737003995	1.74460808477996e-05	0.00165599250759371	0	0	39	29	75	69	31	34
RL7A_HUMAN	30	RL7A_HUMAN	P62424	reviewed	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266	-2.15380755138762	10.3957285568557	56.206431193006	1.97141965189728e-05	0.00165599250759371	0	0	13	13	22	20	6	4
ROA1_HUMAN	39	ROA1_HUMAN	P09651	reviewed	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	HNRNPA1 HNRPA1	Homo sapiens (Human)	372	-0.957184434275062	13.1011653381999	50.9619193541232	3.00641425470798e-05	0.00202031037916376	0	0	92	108	110	131	65	69
FLNB_HUMAN	278	FLNB_HUMAN	O75369	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602	1.60148110062651	11.4507121055292	42.9185953249594	6.20696266577539e-05	0.00298896305797314	0	0	19	10	20	14	58	54
SRRM2_HUMAN	300	SRRM2_HUMAN	Q9UQ35	reviewed	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	SRRM2 KIAA0324 SRL300 SRM300 HSPC075	Homo sapiens (Human)	2752	-1.21765042609989	11.8287549512086	42.0047682955465	6.78731175599882e-05	0.00298896305797314	0	0	21	30	57	66	30	27
KPYM_HUMAN	58	KPYM_HUMAN	P14618	reviewed	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	531	2.04745957613732	10.0535757812612	41.5269987529488	7.11657870945986e-05	0.00298896305797314	0	0	6	3	4	5	21	20
H11_HUMAN	22	H11_HUMAN	Q02539	reviewed	Histone H1.1 (Histone H1a)	HIST1H1A H1F1	Homo sapiens (Human)	215	-1.48081536982763	10.9262588858422	33.6303431079106	0.00016743313188813	0.00625083692382352	0	0	16	12	37	28	10	15
HNRPC_HUMAN	34	HNRPC_HUMAN	P07910	reviewed	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	HNRNPC HNRPC	Homo sapiens (Human)	306	-0.32249758319474	14.8265963195332	32.6483246338393	0.000188283381971667	0.00632632163424803	0	1	309	304	349	357	286	324
