Identified Proteins (540)	Accession Number	Alternate ID	Molecular Weight	Protein Grouping Ambiguity	Taxonomy	Uninduced 1	Uninduced 2	Uninduced 3	Induced 1	Induced 2
Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5	ADH1_YEAST		37 kDa	TRUE	unknown	17			1928	1907
Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4	ALBU_BOVIN		69 kDa	TRUE	unknown				1615	1675
Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3	ASCC3_HUMAN		251 kDa	TRUE	unknown	130	134	120	1052	1005
Trypsin OS=Sus scrofa PE=1 SV=1	TRYP_PIG		24 kDa		unknown	335	255	182	331	325
Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1	EIF3A_HUMAN		167 kDa	TRUE	unknown	312	300	221	239	234
Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5	DYHC1_HUMAN		532 kDa	TRUE	unknown	217	189	168	322	278
"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	K2C1_HUMAN		66 kDa	TRUE	unknown	300	267	257	169	174
DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3	PRKDC_HUMAN		469 kDa	TRUE	unknown	174	153	128	170	233
Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1	EIF3C_HUMAN		105 kDa	TRUE	unknown	228	220	222	124	122
eIF-2-alpha kinase activator GCN1 OS=Homo sapiens GN=GCN1 PE=1 SV=6	GCN1_HUMAN		293 kDa	TRUE	unknown	119	144	123	231	221
"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"	K1C10_HUMAN		59 kDa	TRUE	unknown	223	225	200	94	90
Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3	EIF3B_HUMAN		92 kDa	TRUE	unknown	222	193	159	124	116
Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3	XPO2_HUMAN		110 kDa	TRUE	unknown	127	107	88	183	165
Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2	PABP1_HUMAN		71 kDa	TRUE	unknown	141	149	130	85	79
Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	NUCL_HUMAN		77 kDa	TRUE	unknown	127	112	86	107	104
Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3	MYH10_HUMAN		229 kDa	TRUE	unknown	19	23	20	257	239
Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1	EIF3L_HUMAN		67 kDa	TRUE	unknown	146	126	103	76	76
Protein PRRC2A OS=Homo sapiens GN=PRRC2A PE=1 SV=3	PRC2A_HUMAN		229 kDa	TRUE	unknown	90	78	72	168	147
Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=1 SV=4	IF4G1_HUMAN		175 kDa	TRUE	unknown	133	108	104	54	66
"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	K22E_HUMAN		65 kDa	TRUE	unknown	172	176	162	79	88
Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	SYEP_HUMAN		171 kDa	TRUE	unknown	80	76	70	101	93
60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5	RL4_HUMAN		48 kDa	TRUE	unknown	78	86	73	81	87
Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6	HNRPU_HUMAN		91 kDa		unknown	93	92	83	90	93
Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	MYH9_HUMAN		227 kDa	TRUE	unknown	9	17	15	224	227
"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	K1C9_HUMAN		62 kDa	TRUE	unknown	115	105	93	83	68
Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5	CLH1_HUMAN		192 kDa	TRUE	unknown	48	50	38	133	142
Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	HSP7C_HUMAN		71 kDa	TRUE	unknown	87	81	67	94	84
60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	RLA0_HUMAN		34 kDa	TRUE	unknown	93	85	58	79	76
Protein PRRC2B OS=Homo sapiens GN=PRRC2B PE=1 SV=2	PRC2B_HUMAN		243 kDa	TRUE	unknown	66	53	39	125	126
Activating signal cointegrator 1 complex subunit 2 OS=Homo sapiens GN=ASCC2 PE=1 SV=3	ASCC2_HUMAN		86 kDa	TRUE	unknown	22	26	20	152	138
"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2"	SYIC_HUMAN		145 kDa	TRUE	unknown	70	71	56	66	67
