Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
P63104	reviewed	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	Homo sapiens (Human)	245	YWHAZ	1433Z_HUMAN
P08195	reviewed	4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	Homo sapiens (Human)	630	SLC3A2	4F2_HUMAN
Q15758	reviewed	Neutral amino acid transporter B(0) (ATB(0)) (Baboon M7 virus receptor) (RD114/simian type D retrovirus receptor) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5)	Homo sapiens (Human)	541	SLC1A5	AAAT_HUMAN
Q9UH17	reviewed	DNA dC->dU-editing enzyme APOBEC-3B (A3B) (EC 3.5.4.-) (Phorbolin-1-related protein) (Phorbolin-2/3)	Homo sapiens (Human)	382	APOBEC3B	ABC3B_HUMAN
Q8NE71	reviewed	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	Homo sapiens (Human)	845	ABCF1	ABCF1_HUMAN
P63261	reviewed	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	Homo sapiens (Human)	375	ACTG1	ACTG_HUMAN
P12814	reviewed	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	Homo sapiens (Human)	892	ACTN1	ACTN1_HUMAN
Q09666	reviewed	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	Homo sapiens (Human)	5890	AHNAK	AHNK_HUMAN
Q8IVF2	reviewed	Protein AHNAK2	Homo sapiens (Human)	5795	AHNAK2	AHNK2_HUMAN
P04075	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	Homo sapiens (Human)	364	ALDOA	ALDOA_HUMAN
P39687	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI)	Homo sapiens (Human)	249	ANP32A	AN32A_HUMAN
Q92688	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2) (PHAPI2) (Silver-stainable protein SSP29)	Homo sapiens (Human)	251	ANP32B	AN32B_HUMAN
Q9BTT0	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)	Homo sapiens (Human)	268	ANP32E	AN32E_HUMAN
P04083	reviewed	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	Homo sapiens (Human)	346	ANXA1	ANXA1_HUMAN
P07355	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	Homo sapiens (Human)	339	ANXA2	ANXA2_HUMAN
O00203	reviewed	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	Homo sapiens (Human)	1094	AP3B1	AP3B1_HUMAN
Q9BZZ5	reviewed	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	Homo sapiens (Human)	524	API5	API5_HUMAN
P05026	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Homo sapiens (Human)	303	ATP1B1	AT1B1_HUMAN
P25705	reviewed	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Homo sapiens (Human)	553	ATP5F1A	ATPA_HUMAN
P06576	reviewed	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14) (ATP synthase F1 subunit beta)	Homo sapiens (Human)	529	ATP5F1B	ATPB_HUMAN
Q8WWM7	reviewed	Ataxin-2-like protein (Ataxin-2 domain protein) (Ataxin-2-related protein)	Homo sapiens (Human)	1075	ATXN2L	ATX2L_HUMAN
P35613	reviewed	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)	Homo sapiens (Human)	385	BSG	BASI_HUMAN
Q9NYF8	reviewed	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)	Homo sapiens (Human)	920	BCLAF1	BCLF1_HUMAN
Q14692	reviewed	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	Homo sapiens (Human)	1282	BMS1	BMS1_HUMAN
P20290	reviewed	Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3)	Homo sapiens (Human)	206	BTF3	BTF3_HUMAN
P11586	reviewed	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	Homo sapiens (Human)	935	MTHFD1	C1TC_HUMAN
P27797	reviewed	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	Homo sapiens (Human)	417	CALR	CALR_HUMAN
Q14444	reviewed	Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	Homo sapiens (Human)	709	CAPRIN1	CAPR1_HUMAN
Q6YHK3	reviewed	CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)	Homo sapiens (Human)	1445	CD109	CD109_HUMAN
P21127	reviewed	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	Homo sapiens (Human)	795	CDK11B	CD11B_HUMAN
Q13740	reviewed	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	Homo sapiens (Human)	583	ALCAM	CD166_HUMAN
P16070	reviewed	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	Homo sapiens (Human)	742	CD44	CD44_HUMAN
Q92879	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	Homo sapiens (Human)	486	CELF1	CELF1_HUMAN
P10809	reviewed	60 kDa heat shock protein, mitochondrial (EC 3.6.4.9) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	Homo sapiens (Human)	573	HSPD1	CH60_HUMAN
Q14011	reviewed	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	Homo sapiens (Human)	172	CIRBP	CIRBP_HUMAN
Q07065	reviewed	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	Homo sapiens (Human)	602	CKAP4	CKAP4_HUMAN
Q00610	reviewed	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	Homo sapiens (Human)	1675	CLTC	CLH1_HUMAN
O00299	reviewed	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	Homo sapiens (Human)	241	CLIC1	CLIC1_HUMAN
P23528	reviewed	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	Homo sapiens (Human)	166	CFL1	COF1_HUMAN
O75534	reviewed	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	Homo sapiens (Human)	798	CSDE1	CSDE1_HUMAN
Q6UVK1	reviewed	Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (Melanoma chondroitin sulfate proteoglycan) (Melanoma-associated chondroitin sulfate proteoglycan)	Homo sapiens (Human)	2322	CSPG4	CSPG4_HUMAN
P33240	reviewed	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64)	Homo sapiens (Human)	577	CSTF2	CSTF2_HUMAN
P0DMU7	reviewed	Cancer/testis antigen family 45 member A6 (Cancer/testis antigen 45-6) (Cancer/testis antigen 45A6)	Homo sapiens (Human)	189	CT45A6	CT456_HUMAN
O00622	reviewed	Protein CYR61 (CCN family member 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein GIG1)	Homo sapiens (Human)	381	CYR61	CYR61_HUMAN
Q92841	reviewed	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72)	Homo sapiens (Human)	729	DDX17	DDX17_HUMAN
Q9NVP1	reviewed	ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb)	Homo sapiens (Human)	670	DDX18	DDX18_HUMAN
Q9NR30	reviewed	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	Homo sapiens (Human)	783	DDX21	DDX21_HUMAN
Q9BUQ8	reviewed	Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)	Homo sapiens (Human)	820	DDX23	DDX23_HUMAN
Q96GQ7	reviewed	Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)	Homo sapiens (Human)	796	DDX27	DDX27_HUMAN
O00571	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	Homo sapiens (Human)	662	DDX3X	DDX3X_HUMAN
Q7L014	reviewed	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)	Homo sapiens (Human)	1031	DDX46	DDX46_HUMAN
P17844	reviewed	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)	Homo sapiens (Human)	614	DDX5	DDX5_HUMAN
Q8TDD1	reviewed	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	Homo sapiens (Human)	881	DDX54	DDX54_HUMAN
Q9NY93	reviewed	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	Homo sapiens (Human)	547	DDX56	DDX56_HUMAN
P35659	reviewed	Protein DEK	Homo sapiens (Human)	375	DEK	DEK_HUMAN
Q13268	reviewed	Dehydrogenase/reductase SDR family member 2, mitochondrial (EC 1.1.1.-) (Dicarbonyl reductase HEP27) (Protein D) (Short chain dehydrogenase/reductase family 25C member 1)	Homo sapiens (Human)	280	DHRS2	DHRS2_HUMAN
O43143	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	Homo sapiens (Human)	795	DHX15	DHX15_HUMAN
Q7L2E3	reviewed	ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	Homo sapiens (Human)	1194	DHX30	DHX30_HUMAN
Q08211	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	Homo sapiens (Human)	1270	DHX9	DHX9_HUMAN
O60832	reviewed	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	Homo sapiens (Human)	514	DKC1	DKC1_HUMAN
Q96JB1	reviewed	Dynein heavy chain 8, axonemal (Axonemal beta dynein heavy chain 8) (Ciliary dynein heavy chain 8)	Homo sapiens (Human)	4490	DNAH8	DYH8_HUMAN
P55084	reviewed	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]	Homo sapiens (Human)	474	HADHB	ECHB_HUMAN
P68104	reviewed	Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	Homo sapiens (Human)	462	EEF1A1	EF1A1_HUMAN
P29692	reviewed	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)	Homo sapiens (Human)	281	EEF1D	EF1D_HUMAN
P26641	reviewed	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	Homo sapiens (Human)	437	EEF1G	EF1G_HUMAN
P13639	reviewed	Elongation factor 2 (EF-2)	Homo sapiens (Human)	858	EEF2	EF2_HUMAN
P49411	reviewed	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	Homo sapiens (Human)	452	TUFM	EFTU_HUMAN
Q14152	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	Homo sapiens (Human)	1382	EIF3A	EIF3A_HUMAN
P55884	reviewed	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	Homo sapiens (Human)	814	EIF3B	EIF3B_HUMAN
O75821	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	Homo sapiens (Human)	320	EIF3G	EIF3G_HUMAN
O75822	reviewed	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35)	Homo sapiens (Human)	258	EIF3J	EIF3J_HUMAN
B5ME19	reviewed	Eukaryotic translation initiation factor 3 subunit C-like protein	Homo sapiens (Human)	914	EIF3CL	EIFCL_HUMAN
Q15717	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	Homo sapiens (Human)	326	ELAVL1	ELAV1_HUMAN
Q12926	reviewed	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Hel-N1)	Homo sapiens (Human)	359	ELAVL2	ELAV2_HUMAN
P06733	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	Homo sapiens (Human)	434	ENO1	ENOA_HUMAN
P14625	reviewed	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	Homo sapiens (Human)	803	HSP90B1	ENPL_HUMAN
Q9UNN8	reviewed	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)	Homo sapiens (Human)	238	PROCR	EPCR_HUMAN
Q01844	reviewed	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein)	Homo sapiens (Human)	656	EWSR1	EWS_HUMAN
P15311	reviewed	Ezrin (Cytovillin) (Villin-2) (p81)	Homo sapiens (Human)	586	EZR	EZRI_HUMAN
Q9NZB2	reviewed	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	Homo sapiens (Human)	1118	FAM120A	F120A_HUMAN
Q8NCA5	reviewed	Protein FAM98A	Homo sapiens (Human)	519	FAM98A	FA98A_HUMAN
Q52LJ0	reviewed	Protein FAM98B	Homo sapiens (Human)	330	FAM98B	FA98B_HUMAN
P49327	reviewed	Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	Homo sapiens (Human)	2511	FASN	FAS_HUMAN
P22087	reviewed	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase)	Homo sapiens (Human)	321	FBL	FBRL_HUMAN
P02675	reviewed	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	Homo sapiens (Human)	491	FGB	FIBB_HUMAN
P02751	reviewed	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	Homo sapiens (Human)	2386	FN1	FINC_HUMAN
Q6UN15	reviewed	Pre-mRNA 3'-end-processing factor FIP1 (hFip1) (FIP1-like 1 protein) (Factor interacting with PAP) (Rearranged in hypereosinophilia)	Homo sapiens (Human)	594	FIP1L1	FIP1_HUMAN
Q96AY3	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP10 (PPIase FKBP10) (EC 5.2.1.8) (65 kDa FK506-binding protein) (65 kDa FKBP) (FKBP-65) (FK506-binding protein 10) (FKBP-10) (Immunophilin FKBP65) (Rotamase)	Homo sapiens (Human)	582	FKBP10	FKB10_HUMAN
P21333	reviewed	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	Homo sapiens (Human)	2647	FLNA	FLNA_HUMAN
O75369	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	Homo sapiens (Human)	2602	FLNB	FLNB_HUMAN
Q14315	reviewed	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	Homo sapiens (Human)	2725	FLNC	FLNC_HUMAN
Q12841	reviewed	Follistatin-related protein 1 (Follistatin-like protein 1)	Homo sapiens (Human)	308	FSTL1	FSTL1_HUMAN
Q96AE4	reviewed	Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V)	Homo sapiens (Human)	644	FUBP1	FUBP1_HUMAN
Q92945	reviewed	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	Homo sapiens (Human)	711	KHSRP	FUBP2_HUMAN
Q96I24	reviewed	Far upstream element-binding protein 3 (FUSE-binding protein 3)	Homo sapiens (Human)	572	FUBP3	FUBP3_HUMAN
P35637	reviewed	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	Homo sapiens (Human)	526	FUS	FUS_HUMAN
P51114	reviewed	Fragile X mental retardation syndrome-related protein 1 (hFXR1p)	Homo sapiens (Human)	621	FXR1	FXR1_HUMAN
Q13283	reviewed	Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1)	Homo sapiens (Human)	466	G3BP1	G3BP1_HUMAN
