Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (InterPro)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Length
Q09666	AHNK_HUMAN	reviewed	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	IPR001478;IPR036034;	protein oligomerization [GO:0051259]; regulation of RNA splicing [GO:0043484]; regulation of voltage-gated calcium channel activity [GO:1901385]	actin cytoskeleton [GO:0015629]; cell-cell contact zone [GO:0044291]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; vesicle [GO:0031982]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; S100 protein binding [GO:0044548]; structural molecule activity conferring elasticity [GO:0097493]	5890
Q14692	BMS1_HUMAN	reviewed	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	BMS1 BMS1L KIAA0187	Homo sapiens (Human)	IPR012948;IPR007034;IPR030387;IPR027417;	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosome assembly [GO:0042255]; rRNA processing [GO:0006364]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	ATP binding [GO:0005524]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]; U3 snoRNA binding [GO:0034511]	1282
Q03701	CEBPZ_HUMAN	reviewed	CCAAT/enhancer-binding protein zeta (CCAAT-box-binding transcription factor) (CBF) (CCAAT-binding factor)	CEBPZ CBF2	Homo sapiens (Human)	IPR011989;IPR016024;IPR005612;	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; transcription from RNA polymerase II promoter [GO:0006366]	nucleus [GO:0005634]	DNA binding [GO:0003677]; RNA binding [GO:0003723]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]	1054
Q07065	CKAP4_HUMAN	reviewed	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	CKAP4	Homo sapiens (Human)	IPR028428;	cellular protein metabolic process [GO:0044267]; neutrophil degranulation [GO:0043312]; post-translational protein modification [GO:0043687]	azurophil granule membrane [GO:0035577]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; integral component of membrane [GO:0016021]; lamellar body [GO:0042599]; lipid droplet [GO:0005811]; membrane [GO:0016020]; nuclear speck [GO:0016607]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; rough endoplasmic reticulum [GO:0005791]; specific granule membrane [GO:0035579]	RNA binding [GO:0003723]	602
O75534	CSDE1_HUMAN	reviewed	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR	Homo sapiens (Human)	IPR019844;IPR011129;IPR002059;IPR012340;IPR024642;	male gonad development [GO:0008584]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; regulation of transcription, DNA-templated [GO:0006355]	CRD-mediated mRNA stability complex [GO:0070937]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mitochondrial inner membrane [GO:0005743]; plasma membrane [GO:0005886]	DNA binding [GO:0003677]; RNA binding [GO:0003723]	798
Q9NR30	DDX21_HUMAN	reviewed	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	DDX21	Homo sapiens (Human)	IPR011545;IPR012562;IPR014001;IPR001650;IPR027417;IPR035979;IPR014014;	osteoblast differentiation [GO:0001649]; positive regulation of gene expression, epigenetic [GO:0045815]; response to exogenous dsRNA [GO:0043330]; response to virus [GO:0009615]; RNA secondary structure unwinding [GO:0010501]; rRNA processing [GO:0006364]; transcription from RNA polymerase II promoter [GO:0006366]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	7SK snRNA binding [GO:0097322]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; double-stranded RNA binding [GO:0003725]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; snoRNA binding [GO:0030515]	783
Q96GQ7	DDX27_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)	DDX27 cPERP-F RHLP HSPC259 PP3241	Homo sapiens (Human)	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;	RNA secondary structure unwinding [GO:0010501]; rRNA processing [GO:0006364]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]	796
O00571	DDX3X_HUMAN	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;	cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; chromosome segregation [GO:0007059]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; mature ribosome assembly [GO:0042256]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of protein complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; neutrophil degranulation [GO:0043312]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral genome replication [GO:0045070]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; RNA secondary structure unwinding [GO:0010501]; stress granule assembly [GO:0034063]; transcription, DNA-templated [GO:0006351]; viral process [GO:0016032]; Wnt signaling pathway [GO:0016055]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrial outer membrane [GO:0005741]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; ATP-dependent RNA helicase activity [GO:0004004]; cadherin binding [GO:0045296]; CTPase activity [GO:0043273]; DNA binding [GO:0003677]; eukaryotic initiation factor 4E binding [GO:0008190]; GTPase activity [GO:0003924]; mRNA 5'-UTR binding [GO:0048027]; nucleoside-triphosphatase activity [GO:0017111]; poly(A) binding [GO:0008143]; protein serine/threonine kinase activator activity [GO:0043539]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; RNA strand annealing activity [GO:0033592]; transcription factor binding [GO:0008134]; translation initiation factor binding [GO:0031369]	662
P17844	DDX5_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)	DDX5 G17P1 HELR HLR1	Homo sapiens (Human)	IPR033488;IPR011545;IPR014001;IPR001650;IPR027417;IPR012587;IPR000629;IPR014014;	alternative mRNA splicing, via spliceosome [GO:0000380]; androgen receptor signaling pathway [GO:0030521]; BMP signaling pathway [GO:0030509]; cell growth [GO:0016049]; epithelial to mesenchymal transition [GO:0001837]; intracellular estrogen receptor signaling pathway [GO:0030520]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transcription [GO:0009299]; myoblast differentiation [GO:0045445]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; nuclear-transcribed mRNA catabolic process [GO:0000956]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of production of miRNAs involved in gene silencing by miRNA [GO:1903800]; pri-miRNA transcription from RNA polymerase II promoter [GO:0061614]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of osteoblast differentiation [GO:0045667]; regulation of skeletal muscle cell differentiation [GO:2001014]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; regulation of viral genome replication [GO:0045069]; rhythmic process [GO:0048511]; RNA secondary structure unwinding [GO:0010501]	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	androgen receptor binding [GO:0050681]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; calcium-dependent protein binding [GO:0048306]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; MH2 domain binding [GO:0035500]; mRNA 3'-UTR binding [GO:0003730]; pre-mRNA binding [GO:0036002]; primary miRNA binding [GO:0070878]; promoter-specific chromatin binding [GO:1990841]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; R-SMAD binding [GO:0070412]; SMAD binding [GO:0046332]	614
Q9BQ39	DDX50_HUMAN	reviewed	ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2)	DDX50	Homo sapiens (Human)	IPR011545;IPR012562;IPR014001;IPR001650;IPR027417;IPR035979;IPR014014;	RNA secondary structure unwinding [GO:0010501]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]	737
